ts,de,a,gap_csv,spread_implicito,offset_segmento_viejo
2010-12-13 00:00:00,ESZ0,ESH1,-494.84999999999854,0.0,37378.25
2011-03-14 00:00:00,ESH1,ESM1,-505.09999999999854,-10.25,36883.4
2011-06-13 00:00:00,ESM1,ESU1,-502.3500000000058,2.749999999992724,36388.55
2011-09-12 00:00:00,ESU1,ESZ1,-519.3499999999985,-16.999999999992724,35883.450000000004
2011-12-12 00:00:00,ESZ1,ESH2,-519.8499999999985,-0.5,35381.1
2012-03-12 00:01:00,ESH2,ESM2,-523.5999999999985,-3.75,34861.75
2012-06-11 00:00:00,ESM2,ESU2,-513.3499999999985,10.25,34341.9
2012-09-17 00:00:00,ESU2,ESZ2,-537.8500000000058,-24.500000000007276,33818.3
2012-12-17 00:00:00,ESZ2,ESH3,-535.5999999999985,2.250000000007276,33304.950000000004
2013-03-11 00:00:00,ESH3,ESM3,-544.8499999999985,-9.25,32767.1
2013-06-17 00:00:00,ESM3,ESU3,-542.8499999999985,2.0,32231.5
2013-09-16 00:00:00,ESU3,ESZ3,-539.5999999999985,3.25,31686.65
2013-12-16 00:00:00,ESZ3,ESH4,-570.1000000000022,-30.500000000003638,31143.800000000003
2014-03-17 00:00:00,ESH4,ESM4,-569.3500000000022,0.75,30604.200000000004
2014-06-17 00:00:00,ESM4,ESU4,-578.0999999999985,-8.749999999996362,30034.100000000002
2014-09-15 00:00:00,ESU4,ESZ4,-592.5999999999985,-14.5,29464.75
2014-12-15 00:00:00,ESZ4,ESH5,-586.8500000000022,5.749999999996362,28886.65
2015-03-16 00:00:00,ESH5,ESM5,-598.8499999999985,-11.999999999996362,28294.050000000003
2015-06-15 00:00:00,ESM5,ESU5,-618.1000000000022,-19.250000000003638,27707.2
2015-09-14 00:00:00,ESU5,ESZ5,-616.3499999999985,1.750000000003638,27108.350000000002
2015-12-14 00:00:00,ESZ5,ESH6,-616.8499999999985,-0.5,26490.25
2016-03-14 00:00:00,ESH6,ESM6,-639.3500000000022,-22.500000000003638,25873.9
2016-06-13 00:00:00,ESM6,ESU6,-653.3499999999985,-13.999999999996362,25257.050000000003
2016-09-12 00:00:00,ESU6,ESZ6,-663.8500000000022,-10.500000000003638,24617.7
2016-12-12 00:00:00,ESZ6,ESH7,-657.3499999999985,6.500000000003638,23964.350000000002
2017-03-16 00:00:00,ESH7,ESM7,-661.0999999999985,-3.75,23300.5
2017-06-12 00:00:00,ESM7,ESU7,-666.6000000000022,-5.500000000003638,22643.15
2017-09-11 00:00:00,ESU7,ESZ7,-652.3499999999985,14.250000000003638,21982.050000000003
2017-12-11 00:02:00,ESZ7,ESZ7-ESH8,-3313.850000000002,-2661.5000000000036,21315.45
2017-12-14 00:00:00,ESZ7-ESH8,ESH8,-649.75,2664.100000000002,20663.100000000002
2018-03-13 00:00:00,ESH8,ESM8,-644.75,5.0,17349.25
2018-06-14 00:00:00,ESM8,ESU8,-640.25,4.5,16699.5
2018-09-17 00:00:00,ESU8,ESZ8,-639.25,1.0,16054.75
2018-12-17 00:00:00,ESZ8,ESH9,-617.25,22.0,15414.5
2019-03-11 00:00:00,ESH9,ESM9,-627.5,-10.25,14775.25
2019-06-20 00:00:00,ESM9,ESU9,-622.0,5.5,14158.0
2019-09-16 00:00:00,ESU9,ESZ9,-636.0,-14.0,13530.5
2019-12-16 00:00:00,ESZ9,ESH0,-607.5,28.5,12908.5
2020-03-17 00:00:00,ESH0,ESM0,-628.25,-20.75,12272.5
2020-06-16 00:00:00,ESM0,ESU0,-639.5,-11.25,11665.0
2020-09-14 00:00:00,ESU0,ESZ0,-613.25,26.25,11036.75
2020-12-14 00:00:00,ESZ0,ESH1,-636.5,-23.25,10397.25
2021-03-15 00:00:00,ESH1,ESM1,-661.25,-24.75,9784.0
2021-06-15 00:00:00,ESM1,ESU1,-675.75,-14.5,9147.5
2021-09-13 00:00:00,ESU1,ESZ1,-680.5,-4.75,8486.25
2021-12-13 00:00:00,ESZ1,ESH2,-677.0,3.5,7810.5
2022-03-14 00:00:00,ESH2,ESM2,-688.25,-11.25,7130.0
2022-06-14 00:00:00,ESM2,ESU2,-700.0,-11.75,6453.0
2022-09-13 00:00:00,ESU2,ESZ2,-681.0,19.0,5764.75
2022-12-13 00:00:00,ESZ2,ESH3,-648.5,32.5,5064.75
2023-03-15 00:00:00,ESH3,ESM3,-616.0,32.5,4383.75
2023-06-13 00:00:00,ESM3,ESU3,-571.25,44.75,3735.25
2023-09-14 00:00:00,ESU3,ESZ3,-522.5,48.75,3119.25
2023-12-14 00:00:00,ESZ3,ESH4,-470.25,52.25,2548.0
2024-03-13 00:00:00,ESH4,ESM4,-406.5,63.75,2025.5
2024-06-20 00:00:00,ESM4,ESU4,-337.5,69.0,1555.25
2024-09-19 00:00:00,ESU4,ESZ4,-278.25,59.25,1148.75
2024-12-19 00:00:00,ESZ4,ESH5,-212.25,66.0,811.25
2025-03-20 00:00:00,ESH5,ESM5,-160.75,51.5,533.0
2025-06-19 00:00:00,ESM5,ESU5,-108.75,52.0,320.75
2025-09-18 00:00:00,ESU5,ESZ5,-51.25,57.5,160.0
2025-12-18 00:00:00,ESZ5,ESH6,0.0,51.25,51.25
