hm,vol,volume,mean_r,n,vol_bp
0,0.00016084797330051162,64.38148524923703,-2.175369305747161e-06,775,1.6084797330051162
1,0.00017177266404025545,55.824008138351985,-6.536806609401816e-06,983,1.7177266404025544
2,0.00015117608572259825,50.58146639511202,-2.5719625465398497e-06,982,1.5117608572259826
3,0.00016591157341667192,47.77902240325866,3.2142912673555307e-06,982,1.6591157341667193
4,0.00016557096806388136,47.58452138492871,2.87929769233655e-06,981,1.6557096806388136
5,0.000142510144431767,49.924643584521384,2.3328394925584078e-06,982,1.42510144431767
6,0.00018444284098452976,53.04577822990844,-2.185843759193438e-06,983,1.8444284098452977
7,0.00015376849509289033,50.32146490335707,-1.040147437598017e-05,983,1.5376849509289032
8,0.00014999585242136775,47.97046843177189,1.1494361368393786e-07,982,1.4999585242136775
9,0.0001427404347921316,47.622199592668025,-4.620423492395811e-06,982,1.427404347921316
10,0.00018009781452996476,52.10681586978637,1.5256726824002477e-06,983,1.8009781452996476
11,0.0001472984260330496,48.854378818737274,2.4595761058149255e-06,982,1.4729842603304961
12,0.0001346369859232824,45.02140672782875,9.622047455214909e-06,981,1.346369859232824
13,0.00013284811031074196,46.80937818552498,-5.350107465082265e-06,981,1.3284811031074195
14,0.00013597322402435783,45.69458631256384,2.7212715059439235e-08,979,1.3597322402435783
15,0.0001620590329652616,50.76195320447609,5.835530123034918e-06,983,1.620590329652616
16,0.00014464728173411168,46.68056968463886,-2.4187773780635448e-06,983,1.4464728173411168
17,0.0001383762379284008,45.34658511722732,5.989765094758466e-06,981,1.3837623792840081
18,0.00019245857868912454,45.85132382892057,6.0675906637247255e-06,982,1.9245857868912455
19,0.0001404148322310371,45.69317023445464,-4.9604151042388494e-06,980,1.404148322310371
20,0.0001597065962052797,47.69653767820774,2.7717290266047194e-06,982,1.597065962052797
21,0.00014491560573042197,47.16802443991853,-4.941340602796806e-06,982,1.4491560573042197
22,0.00012948182001205164,43.293997965412004,4.268547959256858e-06,983,1.2948182001205164
23,0.00012811458395453908,43.46537678207739,-1.0159555756274528e-06,982,1.2811458395453907
24,0.00013432090700554416,42.827726809378184,3.1911420074787386e-06,981,1.3432090700554415
25,0.0001344111118939611,44.86326530612245,4.107999436518485e-06,980,1.344111118939611
26,0.00012944933936804402,42.98572884811417,7.672488042239105e-07,981,1.2944933936804401
27,0.0001409308629090992,45.56517311608961,-7.288772934171249e-06,982,1.409308629090992
28,0.0001480719090630756,43.7265306122449,2.641916653343758e-06,980,1.480719090630756
29,0.00015967056651141983,51.25382262996942,-5.635163979936137e-06,981,1.5967056651141982
30,0.0001956363725808764,72.96846388606308,2.060078171514538e-05,982,1.956363725808764
31,0.0001900459351508741,60.925737538148525,8.661079902324902e-06,983,1.900459351508741
32,0.00015953507049733256,56.95926680244399,-8.921591420584311e-06,982,1.5953507049733255
33,0.0001664837434142755,50.860488798370675,-2.6914560602957892e-06,982,1.664837434142755
34,0.00014696802127206704,50.32586558044807,1.4460603029107667e-06,982,1.4696802127206705
35,0.0001654126066711556,54.55035605289929,3.2589939120101072e-06,983,1.654126066711556
36,0.00015826266619927245,49.041709053916584,4.66218005006243e-07,983,1.5826266619927245
37,0.00014165688587594764,48.51271617497457,-7.564037497251576e-07,983,1.4165688587594765
38,0.00014367668422689414,47.217922606924645,4.880754499815466e-06,982,1.4367668422689412
39,0.00014295316296431115,46.09775967413442,-9.986640051381621e-06,982,1.4295316296431115
40,0.00014561271703890442,48.66700610997963,6.673261993507826e-06,982,1.4561271703890442
41,0.00014349258376101484,45.781855249745156,-5.840462273389424e-06,981,1.4349258376101484
42,0.00014073916138266065,46.09775967413442,-6.597031375849774e-07,982,1.4073916138266065
43,0.00013309343639826107,44.56008146639511,3.7342913728243507e-06,982,1.3309343639826108
44,0.0001264165286788292,41.25940996948118,4.74635109954847e-06,983,1.264165286788292
45,0.00014679771088077395,53.20142421159715,3.5191002462748077e-06,983,1.4679771088077396
46,0.00013539709597606853,46.99796126401631,3.9159463738992745e-07,981,1.3539709597606853
47,0.0001272827281751424,44.54887983706721,-5.624211510046024e-06,982,1.2728272817514241
48,0.00013892124518644872,46.53822629969419,4.441951824172888e-06,981,1.3892124518644873
49,0.00012856764290939895,44.339795918367344,-2.3494156941966547e-06,980,1.2856764290939895
50,0.00013661554608034436,48.56880733944954,-6.766212808931924e-06,981,1.3661554608034436
51,0.00014529256266951086,47.14547304170905,5.682298091091557e-06,983,1.4529256266951085
52,0.00014111112957473917,45.47202441505595,-6.696645477456948e-08,983,1.4111112957473917
53,0.00013265016659426814,45.15987780040733,-3.6587553847801415e-07,982,1.3265016659426814
54,0.00012852217279224565,43.92158859470469,1.52758601327528e-06,982,1.2852217279224565
55,0.00012778684690780694,46.23702950152594,4.521559449499228e-06,983,1.2778684690780695
56,0.0001304921580821129,45.06008146639511,2.36549664937244e-06,982,1.304921580821129
57,0.00014671435699497874,44.55239064089522,-6.755487459721371e-06,983,1.4671435699497875
58,0.000135184523280632,48.924643584521384,8.790886738302586e-06,982,1.3518452328063202
59,0.00014313232014392648,49.484199796126404,-1.278658198514678e-06,981,1.4313232014392647
100,0.00021789846428355705,97.26171079429736,-5.301385687320379e-06,982,2.1789846428355704
101,0.00021569811610993163,81.22199592668025,1.5981892518962615e-06,982,2.156981161099316
102,0.0001964463053492839,72.50254323499492,4.789970168508843e-06,982,1.9644630534928391
103,0.0001789097935613976,66.83723296032554,-6.167755973473048e-06,983,1.789097935613976
104,0.0001902954451161201,63.673448626653105,8.166459249837968e-06,983,1.9029544511612009
105,0.00021305864273997425,71.52899287894202,-2.993624658419789e-06,983,2.1305864273997424
106,0.00018895776237318762,69.39267548321465,1.5516438682017162e-06,983,1.8895776237318762
107,0.00018382384705753932,64.50254323499492,-6.684530498160707e-06,983,1.8382384705753931
108,0.00018194020555641898,62.76195320447609,8.12080709389975e-06,983,1.8194020555641899
109,0.00017767722612516728,62.945066124109864,-1.2653885899968311e-06,983,1.7767722612516728
110,0.00018983083724176218,67.58901322482197,-7.440246128550643e-06,983,1.8983083724176217
111,0.00018457855281662865,63.5707019328586,2.219321881956415e-06,983,1.8457855281662865
112,0.00017039507395901106,60.735234215885946,-8.579686825564135e-06,982,1.7039507395901106
113,0.00016945138204659668,61.68972533062055,-3.1131513273936406e-06,983,1.6945138204659669
114,0.00016837702693032737,58.46693794506612,6.491993923587847e-06,983,1.6837702693032737
115,0.00018654435090217076,69.18514750762971,1.3306841976823662e-05,983,1.8654435090217076
116,0.00018105788871141494,61.11495422177009,3.6962743395350585e-07,983,1.8105788871141493
117,0.00016285666767159302,57.60590631364562,1.4309231739058893e-06,982,1.6285666767159301
118,0.00016601708765625941,55.71515768056968,2.4476390123234176e-06,983,1.6601708765625942
119,0.00015247999372314697,54.91251271617497,1.811699393344389e-06,983,1.5247999372314698
120,0.00016242971808558672,60.39877924720244,2.979066084348848e-06,983,1.6242971808558673
121,0.000177046497654854,58.16191446028513,-1.5676314313525644e-06,982,1.77046497654854
122,0.00015870452802300815,57.492370295015256,-4.346097591777365e-06,983,1.5870452802300814
123,0.0001841343121662905,55.86456211812627,-7.915851980495205e-06,982,1.841343121662905
124,0.0001592463537746183,55.974567650050865,-8.501067805822924e-06,983,1.592463537746183
125,0.00019948630675761152,60.51678535096643,3.446896085230633e-06,983,1.9948630675761152
126,0.0001606710037028573,56.84623217922607,1.5959041664049888e-06,982,1.6067100370285732
127,0.0001691465130297976,55.04577822990844,-6.0859522664849205e-06,983,1.6914651302979762
128,0.00016982690721989896,56.88402848423194,1.0721256134531371e-05,983,1.6982690721989897
129,0.00018751641967680563,63.13136456211813,5.038869119982117e-06,982,1.8751641967680563
130,0.00021002932593389866,90.34282807731434,1.2227715083022196e-05,983,2.1002932593389865
131,0.00020180317945024657,74.17497456765005,-9.267045582599057e-06,983,2.0180317945024657
132,0.0001919621771101182,68.80061037639878,-2.7324588613240703e-08,983,1.9196217711011818
133,0.00020782909826159534,65.5116988809766,-1.799434036915903e-06,983,2.0782909826159535
134,0.000195622275775958,63.98474059003052,-1.9382044081588354e-06,983,1.95622275775958
135,0.00019967280819989136,70.49135300101729,3.670733371755982e-06,983,1.9967280819989137
136,0.00018903791479011294,66.07324516785351,-5.14349989498472e-06,983,1.8903791479011294
137,0.00017470216036890446,63.67243133265514,-1.9642334821335914e-06,983,1.7470216036890447
138,0.00016895305006051824,63.209562563580874,6.746768501020194e-06,983,1.6895305006051824
139,0.00017393026159338588,61.559511698880975,-4.956324792020348e-06,983,1.7393026159338587
140,0.0002027317658221162,72.51576805696847,-1.3582189806921396e-06,983,2.027317658221162
141,0.00020304846324855106,67.72533062054934,1.0936870712975656e-05,983,2.0304846324855106
142,0.0001740282481237376,64.8118006103764,1.063619707847686e-06,983,1.740282481237376
143,0.0001666355008863182,58.441505595116986,5.778054205889323e-06,983,1.666355008863182
144,0.00016462429333666536,60.16276703967446,2.992014182632247e-06,983,1.6462429333666535
145,0.00020165093714448755,71.81383519837233,7.471669343461287e-07,983,2.0165093714448754
146,0.00017072343474248998,64.71719226856561,5.499283670906843e-06,983,1.7072343474248999
147,0.00018068467188230787,62.23194303153611,1.1084154455151414e-06,983,1.8068467188230786
148,0.0001784612264097302,60.91963377416073,-9.55816940374405e-07,983,1.784612264097302
149,0.0001950068866557756,61.211597151576804,-7.189431632666838e-06,983,1.9500688665577561
150,0.00018683208732951813,69.5350966429298,7.556851579171941e-07,983,1.8683208732951813
151,0.00022190230799152847,71.04781281790437,2.3770368217057944e-06,983,2.2190230799152846
152,0.00019447472724761067,66.63072227873856,1.3242399995153034e-06,983,1.9447472724761066
153,0.0001826419797072515,64.21464903357071,-4.696097288422236e-06,983,1.8264197970725151
154,0.00016693946769298008,64.57171922685656,-2.682950893959856e-06,983,1.669394676929801
155,0.00020011145458464873,71.79654120040692,8.974734737122857e-06,983,2.0011145458464874
156,0.0001859837422280118,68.73217922606925,-5.595189755044571e-06,982,1.859837422280118
