d,gap,atr,g_atr,t_fill,t_onh,t_onl,t_pdh,t_pdl,open_in_on,open_in_pd,r_first30,r_1000_1530,r_last30,r_1530,r_rest,year
15,-14.0,217.26785714285714,-0.06443659077833484,944.0,1030.0,,1014.0,,True,True,0.0021256719444146294,0.00018303620507217967,-0.0020335822776658434,0.0012819575413264893,-0.0018505460725935852,2021
16,-19.0,210.57142857142858,-0.09023066485753052,947.0,972.0,934.0,,933.0,True,True,0.0017248027175495774,0.0008429695014377509,0.0012631233773721061,0.0011730206623633479,0.002106092878809768,2021
17,121.75,195.69642857142858,0.6221370563007573,,937.0,,930.0,,True,False,0.0016849508918952004,-0.0015217669923445092,0.001521766992344422,0.009033188962347331,0.0,2021
18,-60.25,181.64285714285714,-0.331694848604011,1062.0,,,1072.0,930.0,True,False,0.0022338666972228803,0.005626071986969249,0.002252395247388789,0.0034876927153852677,0.007878467234357887,2021
19,-44.75,179.64285714285714,-0.24910536779324055,,1144.0,948.0,,,True,True,-0.0012105554675013901,0.0016438310375377434,0.0015510310249576033,-0.002793725851199585,0.003194862062495497,2021
20,65.25,170.17857142857142,0.3834207764952781,,935.0,,930.0,,True,False,0.004599190275807422,0.003600139339087258,-0.0011748581731243204,0.012891852676173793,0.0024252811659627544,2021
21,7.5,165.48214285714286,0.04532211071544189,930.0,,932.0,,1042.0,True,True,-0.0006054454660790488,-0.01038505304759347,-0.0015130230920542694,-0.010456300954716304,-0.011898076139647738,2021
22,120.5,160.60714285714286,0.7502779630865021,,931.0,,989.0,,True,True,0.0018924859694812116,0.002191518101900252,0.002115687987489788,0.01273491862173781,0.004307206089389975,2021
23,22.75,152.32142857142858,0.14935521688159437,930.0,,,930.0,,True,False,-0.005333630437001198,0.004641865077500391,0.00015968063906195596,0.0009230988371170931,0.00480154571656217,2021
24,-66.5,138.98214285714286,-0.47847873570602595,,,966.0,,930.0,True,True,0.002172288165927724,-0.009453504644808803,0.0029403348780137205,-0.012011459676651666,-0.006513169766795013,2021
25,-30.0,139.32142857142858,-0.21532940271725196,938.0,,1005.0,,1003.0,True,True,0.002204321719820057,-0.008557663285498673,0.000992555912751643,-0.008503957111961115,-0.007565107372747011,2021
26,-52.5,144.375,-0.36363636363636365,959.0,953.0,940.0,,939.0,True,True,0.003957395455556792,0.005090808882692196,0.003313960166430812,0.005253133369697556,0.008404769049123099,2021
27,-17.75,145.875,-0.12167952013710369,989.0,1012.0,940.0,992.0,,True,True,-0.001379743084985911,-0.010508861526698434,0.0010504392888384026,-0.013159150490932262,-0.009458422237860096,2021
28,26.0,157.53571428571428,0.16504194060303787,,930.0,,1127.0,,True,True,0.00371499588682709,0.009780291834685593,-0.0028203728018827185,0.015376075312968423,0.006959919032802901,2021
29,8.75,157.48214285714286,0.05556185508561061,934.0,930.0,,1023.0,,True,True,-7.146047345604711e-05,0.004438707764499151,0.0013508711617027402,0.00499269964749692,0.005789578926202059,2021
