label,n,wr,exp_pts,avg_win,avg_loss,pf,total_pts,t,max_dd_pts,params,exp_A,wr_A,n_A,exp_B,wr_B,n_B,DEV_n,DEV_atr%,DEV_t,DEV_wr,DEV_costo%,VAL1_n,VAL1_atr%,VAL1_t,VAL1_wr,VAL1_costo%,VAL2_n,VAL2_atr%,VAL2_t,VAL2_wr,VAL2_costo%,fam,wr_bruto,wr_nulo,exceso_wr,p_binom,gap_atr,stop_x_gap,tgt_x_gap,salida,modo,nivel,dist_atr,stop_atr,tgt_atr,cancel
F1_gap_fade,1045,0.4842105263157895,0.12368421052631579,8.53013833992095,-7.768089053803339,1.0308693575352281,129.25,0.3492807689660865,392.5,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""fade""}",1.6537769784172662,0.4748201438848921,139,0.252,0.456,125,570,0.2596184471827532,0.9522916689038893,0.5087719298245614,1.9627170358525707,128,-0.24661124744908997,-0.4303639400157147,0.453125,0.6658331114236233,347,-0.20326482890328598,-0.5944445337229761,0.4553314121037464,0.33360238705360024,F1_gap_fade,0.4842105263157895,0.5,-0.01578947368421052,0.32222325639332533,0.05-0.2,0.5,0.5,1100.0,fade,,,,,
F1_gap_go,1045,0.41913875598086126,-1.0293062200956937,8.479166666666666,-7.8904448105436575,0.775420189998956,-1075.625,-2.918388312298377,1332.875,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""go""}",-3.448741007194245,0.41007194244604317,139,-1.642,0.448,125,570,-0.9145550697059522,-3.3851241536471948,0.4070175438596491,1.9627170358525707,128,-0.8051901878957383,-1.4151499903674816,0.4140625,0.6658331114236233,347,-0.5566448339125168,-1.6333282480977274,0.4409221902017291,0.33360238705360024,F1_gap_go,0.41913875598086126,0.5,-0.08086124401913874,1.9102905936523104e-07,0.05-0.2,0.5,0.5,1100.0,go,,,,,
F1_gap_fade,1045,0.4842105263157895,0.12368421052631579,8.53013833992095,-7.768089053803339,1.0308693575352281,129.25,0.3492807689660865,392.5,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 0.5, ""salida"": 1559, ""modo"": ""fade""}",1.6537769784172662,0.4748201438848921,139,0.252,0.456,125,570,0.2596184471827532,0.9522916689038893,0.5087719298245614,1.9627170358525707,128,-0.24661124744908997,-0.4303639400157147,0.453125,0.6658331114236233,347,-0.20326482890328598,-0.5944445337229761,0.4553314121037464,0.33360238705360024,F1_gap_fade,0.4842105263157895,0.5,-0.01578947368421052,0.32222325639332533,0.05-0.2,0.5,0.5,1559.0,fade,,,,,
F1_gap_go,1045,0.41913875598086126,-1.0293062200956937,8.479166666666666,-7.8904448105436575,0.775420189998956,-1075.625,-2.918388312298377,1332.875,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 0.5, ""salida"": 1559, ""modo"": ""go""}",-3.448741007194245,0.41007194244604317,139,-1.642,0.448,125,570,-0.9145550697059522,-3.3851241536471948,0.4070175438596491,1.9627170358525707,128,-0.8051901878957383,-1.4151499903674816,0.4140625,0.6658331114236233,347,-0.5566448339125168,-1.6333282480977274,0.4409221902017291,0.33360238705360024,F1_gap_go,0.41913875598086126,0.5,-0.08086124401913874,1.9102905936523104e-07,0.05-0.2,0.5,0.5,1559.0,go,,,,,
F1_gap_fade,1045,0.3339712918660287,0.5295454545454545,17.300143266475644,-7.879849137931035,1.100900284900285,553.375,1.0145672967462254,333.25,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 1.0, ""salida"": 1100, ""modo"": ""fade""}",4.152877697841727,0.3597122302158273,139,1.77,0.32,125,570,0.3181561806701576,0.8145312647182934,0.3508771929824561,1.9627170358525707,128,-1.235072921294976,-1.6220447126573736,0.265625,0.6658331114236233,347,0.4589297786317211,0.9172674707548969,0.3314121037463977,0.33360238705360024,F1_gap_fade,0.3339712918660287,0.3333333333333333,0.0006379585326953818,0.9738279949138127,0.05-0.2,0.5,1.0,1100.0,fade,,,,,
F1_gap_go,1045,0.29952153110047847,-0.554665071770335,16.8482428115016,-7.996072404371585,0.9009717031500267,-579.625,-1.1259710170196073,973.625,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 1.0, ""salida"": 1100, ""modo"": ""go""}",-2.3138489208633093,0.2949640287769784,139,-0.756,0.328,125,570,-0.6809918343490672,-1.815203708333468,0.2894736842105263,1.9627170358525707,128,-0.8093886789647251,-1.0426742234440032,0.28125,0.6658331114236233,347,-0.08633630354911818,-0.1785931556630689,0.3227665706051873,0.33360238705360024,F1_gap_go,0.29952153110047847,0.3333333333333333,-0.03381180223285485,0.021578177094577884,0.05-0.2,0.5,1.0,1100.0,go,,,,,
F1_gap_fade,1045,0.3339712918660287,0.5295454545454545,17.300143266475644,-7.879849137931035,1.100900284900285,553.375,1.0145672967462254,333.25,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""fade""}",4.152877697841727,0.3597122302158273,139,1.77,0.32,125,570,0.3181561806701576,0.8145312647182934,0.3508771929824561,1.9627170358525707,128,-1.235072921294976,-1.6220447126573736,0.265625,0.6658331114236233,347,0.4589297786317211,0.9172674707548969,0.3314121037463977,0.33360238705360024,F1_gap_fade,0.3339712918660287,0.3333333333333333,0.0006379585326953818,0.9738279949138127,0.05-0.2,0.5,1.0,1559.0,fade,,,,,
F1_gap_go,1045,0.29952153110047847,-0.5568181818181818,16.87220447284345,-8.009392076502733,0.9007526171033836,-581.875,-1.1288542914751758,974.125,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 0.5, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""go""}",-2.3138489208633093,0.2949640287769784,139,-0.756,0.328,125,570,-0.6732583949571366,-1.7915267443764153,0.2894736842105263,1.9627170358525707,128,-0.8490467767706008,-1.0902291954916825,0.28125,0.6658331114236233,347,-0.08633630354911818,-0.1785931556630689,0.3227665706051873,0.33360238705360024,F1_gap_go,0.29952153110047847,0.3333333333333333,-0.03381180223285485,0.021578177094577884,0.05-0.2,0.5,1.0,1559.0,go,,,,,
F1_gap_fade,1045,0.6688995215311004,0.16160287081339714,8.177575107296137,-16.03251445086705,1.0304430123033936,168.875,0.3262249167661376,496.0,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 1.0, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""fade""}",1.4316546762589928,0.6618705035971223,139,0.183,0.648,125,570,0.415875722475365,1.1001499671561468,0.6842105263157895,1.9627170358525707,128,0.2543764020170889,0.3211958557053808,0.671875,0.6658331114236233,347,-0.2711649946459987,-0.5568030037169148,0.6426512968299711,0.33360238705360024,F1_gap_fade,0.6688995215311004,0.6666666666666666,0.0022328548644338087,0.8956113025460017,0.05-0.2,1.0,0.5,1100.0,fade,,,,,
F1_gap_go,1045,0.630622009569378,-0.9318181818181818,8.109635811836116,-16.367875647668395,0.8458768597657487,-973.75,-1.7790596583467264,1242.0,"{""gap_atr"": ""0.05-0.2"", ""stop_x_gap"": 1.0, ""tgt_x_gap"": 0.5, ""salida"": 1100, ""modo"": ""go""}",-4.538669064748201,0.6187050359712231,139,-2.193,0.656,125,570,-0.6820258652590803,-1.7355527557991115,0.6157894736842106,1.9627170358525707,128,0.447097418582485,0.5698998424121997,0.6640625,0.6658331114236233,347,-0.6883536819010826,-1.3724984739574513,0.6426512968299711,0.33360238705360024,F1_gap_go,0.630622009569378,0.6666666666666666,-0.03604465709728866,0.015134314409272605,0.05-0.2,1.0,0.5,1100.0,go,,,,,
