entry_date,exit_date,dias,pnl,mae
2010-12-31,2011-01-03,1,33.712,19.75
2011-01-20,2011-01-25,3,15.462,-19.0
2011-02-22,2011-02-25,3,24.712,-36.0
2011-03-07,2011-03-14,5,-22.788,-56.25
2011-04-05,2011-04-12,5,-29.788,-38.5
2011-04-29,2011-05-06,5,-26.788,-42.0
2011-05-16,2011-05-18,2,24.712,-16.75
2011-07-11,2011-07-18,5,-19.288,-45.25
2011-08-01,2011-08-08,5,-291.538,-291.25
2011-09-21,2011-09-26,3,-26.288,-107.25
2011-10-20,2011-10-21,1,27.712,7.0
2011-10-26,2011-10-27,1,61.712,29.5
2011-11-01,2011-11-03,2,67.212,-2.0
2011-11-10,2011-11-11,1,43.212,18.25
2011-12-07,2011-12-14,5,-82.038,-94.0
2012-03-05,2012-03-07,2,-5.538,-39.0
2012-03-22,2012-03-26,2,45.462,-16.75
2012-03-29,2012-04-02,2,21.712,-17.0
2012-04-04,2012-04-12,5,-5.038,-56.75
2012-04-16,2012-04-17,1,52.212,6.25
2012-04-19,2012-04-25,4,21.712,-58.25
2012-07-09,2012-07-13,4,-27.038,-88.0
2012-07-23,2012-07-26,3,-5.788,-54.0
2012-07-31,2012-08-03,3,32.962,-36.25
2012-09-05,2012-09-06,1,59.712,16.25
2012-09-10,2012-09-13,3,40.212,-13.5
2012-09-25,2012-09-27,2,15.212,-37.0
2012-10-01,2012-10-03,2,23.712,-14.75
2012-10-08,2012-10-15,5,-49.538,-74.75
2012-12-20,2012-12-31,5,-34.038,-96.75
2013-01-04,2013-01-10,4,19.212,-19.75
2013-01-15,2013-01-16,1,9.712,-1.5
2013-01-31,2013-02-01,1,29.962,7.0
2013-02-15,2013-02-19,1,18.962,4.0
2013-03-13,2013-03-20,5,5.962,-37.0
2013-04-12,2013-04-19,5,-78.288,-126.25
2013-05-23,2013-05-28,2,17.962,-28.0
2013-06-05,2013-06-07,2,52.712,-25.0
2013-06-12,2013-06-18,4,57.212,-12.0
2013-07-19,2013-07-22,1,7.712,-1.5
2013-08-07,2013-08-08,1,13.712,-5.25
2013-08-15,2013-08-22,5,24.462,-16.25
2013-09-12,2013-09-18,4,21.212,-44.75
2013-09-23,2013-09-26,3,11.962,-18.0
