prueba,DEV_atr%,DEV_t,DEV_n,VAL1_atr%,VAL1_t,VAL1_n,VAL2_atr%,VAL2_t,VAL2_n
Lun RTH,2.1838980819558786,0.6288263252090455,383,14.449457427313536,1.971762300481192,102,14.551841821697634,3.7499715594507284,232
Mar RTH,5.4152832747560495,1.6252504733221265,418,-0.7061348552556014,-0.10662317360361416,112,-1.8948628567816106,-0.49065194722278654,259
Mié RTH,0.04062941599475839,0.011180032023914573,418,0.9120331232523362,0.14920135516719554,111,-0.07814226205146219,-0.01672175415514627,256
Jue RTH,0.9074734791787861,0.27070145204028795,411,6.668168131539595,1.0147053891975932,110,-7.879541276236305,-1.5800637678149843,250
Vie RTH,-3.0342680599949947,-0.8563501651583696,404,-5.217191250722392,-0.798015032770567,107,2.300128476106424,0.48056160170948287,249
Lun overnight,2.5478691270178104,0.9168462288951378,351,1.7939400449201834,0.23426869831999958,98,-0.30331885791076973,-0.08320868525434286,231
Mar overnight,5.715053211160491,2.5291872674545743,417,8.541141462133135,1.6575671490545771,110,-2.2681325114069204,-0.7567688930142996,253
Mié overnight,5.552952321755227,2.5382081861217896,418,13.271815805357713,2.8512615476819554,109,3.9655760667018916,1.3681493749549216,245
Jue overnight,1.870836039852593,0.8204410679704258,411,2.137719673856661,0.43776900817142395,110,8.616912286192601,2.3800347032481692,248
Vie overnight,4.801069111517248,1.7720823026604138,404,4.9962869438124065,0.9820784946791078,107,0.3741836273462465,0.13012134873845158,249
todos RTH,1.1131424650085757,0.7174135821429249,2034,3.0834912566797463,1.0392317386534098,542,1.1782504615839995,0.5866703804740125,1246
todos overnight,4.151503676443402,3.8126200555735825,2001,6.239160065792086,2.537859312893142,534,2.086319677784344,1.4491646488574272,1226
últ. día mes RTH,-7.079659354221985,-1.2774529056719466,99,-18.012629931997473,-1.1866600698995595,26,-7.3268452700862365,-0.7886137444831904,61
1-3 del mes RTH,2.601566613355038,0.6185311300820369,297,6.431057719531497,0.6964712216593442,81,8.037138248102982,1.5271899721260003,180
OPEX RTH,-14.52125948544646,-2.380915366687767,97,-32.88292292110699,-2.4877882319083775,25,-11.480215064400614,-1.2308802488297799,58
últ. día mes ON,8.428760337390194,1.9214996148652312,99,2.6501469424785684,0.2434986934366222,26,-1.9776513472907742,-0.31233360393072607,61
1-3 del mes ON,6.159908297177427,2.183904938894424,297,16.365128734990968,2.02394313469662,81,-6.08321499174718,-1.4420560016593602,180
