,rth_o,rth_h,rth_l,rth_c,rth_n,on_h,on_l,on_o,seg,full,prev_c,prev_h,prev_l,prev_o,rng,atr,prev_rng,nr7,inside,gap,date,dow,net,atr%
32,2213.5,2223.75,2204.75,2217.75,390.0,2223.25,2207.75,2221.0,0,True,2216.5,2231.75,2204.25,2205.5,19.0,26.75,27.5,False,False,-3.0,2010-11-19,4,-5.038,-15.887850467289718
52,2309.5,2315.0,2304.25,2308.5,390.0,2310.75,2303.75,2309.0,1,True,2306.25,2310.25,2286.25,2291.75,10.75,21.857142857142858,24.0,False,True,3.25,2010-12-17,4,0.21199999999999997,4.57516339869281
76,2384.25,2388.25,2354.25,2355.5,390.0,2388.75,2365.0,2373.75,1,True,2373.25,2383.25,2355.5,2381.0,34.0,23.517857142857142,27.75,False,False,11.0,2011-01-21,4,27.962,122.24753227031131
96,2485.25,2489.0,2470.5,2480.5,390.0,2487.5,2478.25,2482.0,1,True,2485.0,2489.25,2472.0,2474.0,18.5,21.5,17.25,False,False,0.25,2011-02-18,4,3.9619999999999997,22.093023255813954
116,2338.5,2339.0,2306.5,2308.25,390.0,2344.75,2306.0,2314.75,2,True,2312.75,2336.75,2311.25,2327.0,32.5,37.42857142857143,25.5,False,True,25.75,2011-03-18,4,29.462,80.82061068702289
136,2390.75,2404.75,2380.25,2395.25,390.0,2397.0,2385.0,2391.75,2,True,2399.25,2403.0,2378.5,2387.25,24.5,25.732142857142858,24.5,False,False,-8.5,2011-04-15,4,-5.288,-17.487855655794586
160,2456.25,2459.25,2438.0,2440.75,390.0,2463.75,2450.5,2458.5,2,True,2459.25,2464.25,2444.5,2460.0,21.25,30.107142857142858,19.75,True,False,-3.0,2011-05-20,4,14.712,51.482799525504156
180,2322.25,2325.25,2289.0,2295.25,390.0,2323.0,2294.25,2303.75,3,True,2302.25,2319.5,2283.0,2312.25,36.25,26.892857142857142,36.5,False,False,20.0,2011-06-17,4,26.212,100.39840637450199
200,2455.75,2460.75,2439.25,2460.75,390.0,2460.25,2438.0,2445.0,3,True,2429.75,2474.75,2421.0,2464.75,21.5,32.05357142857143,53.75,False,False,26.0,2011-07-15,4,-5.788,-15.598885793871867
225,2158.5,2208.5,2140.25,2142.0,390.0,2191.75,2144.75,2189.25,3,True,2180.25,2228.75,2159.5,2227.75,68.25,73.78571428571429,69.25,False,False,-21.75,2011-08-19,4,15.712,22.362052274927393
245,2392.75,2409.0,2386.5,2405.75,390.0,2394.25,2374.25,2393.25,4,True,2386.5,2390.0,2353.5,2377.25,22.5,49.089285714285715,36.5,False,False,6.25,2011-09-16,4,-13.788,-26.482357220807568
