ts,de,a,gap_csv,spread_implicito,offset_segmento_viejo
2010-12-13 00:02:00,NQZ0,NQH1,-2939.5,0.0,163073.0
2011-03-14 00:03:00,NQH1,NQM1,-2954.75,-15.25,160133.5
2011-06-13 00:00:00,NQM1,NQU1,-2941.0,13.75,157194.0
2011-09-12 00:00:00,NQU1,NQZ1,-2960.0,-19.0,154239.25
2011-12-12 00:00:00,NQZ1,NQH2,-2958.25,1.75,151298.25
2012-03-12 00:00:00,NQH2,NQM2,-2962.0,-3.75,148338.25
2012-06-11 00:00:00,NQM2,NQU2,-2934.25,27.75,145380.0
2012-09-17 00:00:00,NQU2,NQZ2,-2975.5,-41.25,142418.0
2012-12-17 00:00:00,NQZ2,NQH3,-2967.0,8.5,139483.75
2013-03-11 00:00:00,NQH3,NQM3,-2976.25,-9.25,136508.25
2013-06-17 00:00:00,NQM3,NQU3,-2966.75,9.5,133541.25
2013-09-16 00:01:00,NQU3,NQZ3,-2956.0,10.75,130565.0
2013-12-16 00:00:00,NQZ3,NQH4,-3005.5,-49.5,127598.25
2014-03-17 00:00:00,NQH4,NQM4,-2998.5,7.0,124642.25
2014-06-17 00:01:00,NQM4,NQU4,-3004.25,-5.75,121636.75
2014-09-15 00:00:00,NQU4,NQZ4,-3023.25,-19.0,118638.25
2014-12-15 00:00:00,NQZ4,NQH5,-3005.0,18.25,115634.0
2015-03-16 00:00:00,NQH5,NQM5,-3020.75,-15.75,112610.75
2015-06-15 00:00:00,NQM5,NQU5,-3054.25,-33.5,109605.75
2015-09-14 00:00:00,NQU5,NQZ5,-3039.25,15.0,106585.0
2015-12-14 00:00:00,NQZ5,NQH6,-3031.75,7.5,103530.75
2016-03-14 00:00:00,NQH6,NQM6,-3063.25,-31.5,100491.5
2016-06-13 00:00:00,NQM6,NQU6,-3083.0,-19.75,97459.75
2016-09-12 00:00:00,NQU6,NQZ6,-3096.5,-13.5,94396.5
2016-12-12 00:00:00,NQZ6,NQH7,-3084.25,12.25,91313.5
2017-03-13 00:01:00,NQH7,NQM7,-3067.5,16.75,88217.0
2017-06-12 00:00:00,NQM7,NQU7,-3067.25,0.25,85132.75
2017-09-11 00:00:00,NQU7,NQZ7,-3014.75,52.5,82065.25
2017-12-11 00:00:00,NQZ7,NQH8,-3018.25,-3.5,78998.0
2018-03-12 00:00:00,NQH8,NQM8,-2965.75,52.5,75983.25
2018-06-11 00:00:00,NQM8,NQU8,-2985.0,-19.25,72965.0
2018-09-17 00:00:00,NQU8,NQZ8,-2962.75,22.25,69999.25
2018-12-17 00:00:00,NQZ8,NQH9,-2882.25,80.5,67014.25
2019-03-11 00:00:00,NQH9,NQM9,-2903.25,-21.0,64051.5
2019-06-17 00:00:00,NQM9,NQU9,-2849.25,54.0,61169.25
2019-09-16 00:00:00,NQU9,NQZ9,-2928.5,-79.25,58266.0
2019-12-16 00:00:00,NQZ9,NQH0,-2803.75,124.75,55416.75
2020-03-17 00:16:00,NQH0,NQM0,-2846.25,-42.5,52488.25
2020-06-17 00:00:00,NQM0,NQU0,-2855.5,-9.25,49684.5
2020-09-15 00:00:00,NQU0,NQZ0,-2870.5,-15.0,46838.25
2020-12-16 00:00:00,NQZ0,NQH1,-2865.75,4.75,43982.75
2021-03-16 00:00:00,NQH1,NQM1,-2875.5,-9.75,41112.25
2021-06-15 00:00:00,NQM1,NQU1,-2883.75,-8.25,38246.5
2021-09-14 00:00:00,NQU1,NQZ1,-2891.0,-7.25,35371.0
2021-12-13 00:00:00,NQZ1,NQH2,-2820.5,70.5,32487.25
2022-03-15 00:00:00,NQH2,NQM2,-2890.5,-70.0,29596.25
2022-06-15 00:00:00,NQM2,NQU2,-2857.25,33.25,26775.75
2022-09-14 00:00:00,NQU2,NQZ2,-2777.0,80.25,23885.25
2022-12-14 00:00:00,NQZ2,NQH3,-2658.75,118.25,21028.0
2023-03-15 00:00:00,NQH3,NQM3,-2531.0,127.75,18251.0
2023-06-14 00:00:00,NQM3,NQU3,-2347.5,183.5,15592.25
2023-09-12 00:00:00,NQU3,NQZ3,-2149.75,197.75,13061.25
2023-12-13 00:00:00,NQZ3,NQH4,-1939.5,210.25,10713.75
2024-03-13 00:00:00,NQH4,NQM4,-1691.5,248.0,8564.0
2024-06-18 00:00:00,NQM4,NQU4,-1421.25,270.25,6624.5
2024-09-18 00:00:00,NQU4,NQZ4,-1182.5,238.75,4933.0
2024-12-19 00:00:00,NQZ4,NQH5,-910.0,272.5,3511.75
2025-03-20 00:00:00,NQH5,NQM5,-701.5,208.5,2329.25
2025-06-18 00:00:00,NQM5,NQU5,-479.25,222.25,1419.25
2025-09-17 00:00:00,NQU5,NQZ5,-238.5,240.75,717.75
2025-12-17 00:00:00,NQZ5,NQH6,0.0,238.5,238.5
