variable,tramo,n,R_medio,wr,DEV_R,DEV_t,VAL1_R,VAL1_t,VAL2_R,VAL2_t
min_desde_apertura,Q1 bajo,2020,0.02228177327484333,0.35198019801980196,0.014702518732556076,0.30482337795223535,0.10116207994552466,1.241841980536992,-6.60222253878656e-05,-0.0013295253426324374
min_desde_apertura,Q2,2020,0.02355174900038355,0.35445544554455444,-0.03993430994399031,-0.8719421004533031,-0.013314348465584974,-0.15395503212718292,0.10878122994355977,2.1450296025201285
min_desde_apertura,Q3,2020,0.032024076344043556,0.3599009900990099,0.052493251358180386,1.1030647783233525,0.16216441660019332,2.017071934601922,-0.046815254885631485,-0.9375825046914745
min_desde_apertura,Q4 alto,2020,0.043567152399672786,0.36386138613861385,0.11702003710765256,2.453894183319608,-0.0593712413969171,-0.7687702882379676,0.0003798778263512106,0.007402406957150337
mov_apertura_a_favor,Q1 bajo,2020,-0.024415534786178045,0.3420792079207921,-0.018406979249225554,-0.3881273267323947,0.014057291184432651,0.18400564337668093,-0.04913472166555715,-0.9569225436564276
mov_apertura_a_favor,Q2,2020,-0.026639598555416706,0.33712871287128715,-0.0065840002472464625,-0.13793320430780154,-0.051190381419701184,-0.6561528752912886,-0.03873482702729461,-0.7761834774255758
mov_apertura_a_favor,Q3,2020,0.08084108633284974,0.3722772277227723,0.02876275960979765,0.6084865781701458,0.09958368918889114,1.1866537202834628,0.13227933310774734,2.5980510988583303
mov_apertura_a_favor,Q4 alto,2020,0.0916387980276882,0.3787128712871287,0.1343076367819851,2.869324247131827,0.1653372547191189,1.8730257792979284,0.01712169982200266,0.34669802186431825
gap_a_favor,Q1 bajo,2020,0.08586770658303063,0.37376237623762376,0.1059834593679513,2.1463654262955587,0.05296016156931593,0.7120839524932382,0.07955083541717392,1.536632004730803
gap_a_favor,Q2,2020,-0.019651966627340096,0.3415841584158416,-0.08626319937054112,-1.863044477011008,0.0635417447613888,0.7209939067745466,0.02393276693583478,0.4885044812264207
gap_a_favor,Q3,2020,-0.04136300981310495,0.3341584158415842,-0.010750620231911244,-0.23782841103934887,-0.0176321977563896,-0.20179786131092273,-0.08760118423645545,-1.7647358420301131
gap_a_favor,Q4 alto,2020,0.09657202087635763,0.3806930693069307,0.14052809012464682,2.9070782671789335,0.08876967515696191,1.136079693078958,0.04901986545558349,0.9562451721746303
mov15_a_favor,Q1 bajo,1713,0.03166971310211965,0.3572679509632224,0.052438670354920176,1.0408373043027068,0.034964047861845655,0.40489579974456935,0.003388864986564949,0.059604387135847335
mov15_a_favor,Q2,1713,-0.027348668812317276,0.3415061295971979,-0.01320348724858023,-0.2588290030749629,0.0424825746505287,0.4865715548637166,-0.07145015034627344,-1.3280777077024477
mov15_a_favor,Q3,1712,0.01999780152198827,0.35397196261682246,-0.01606862012632801,-0.31152335782970136,-0.05738986775049772,-0.6558198320972344,0.08669438270569671,1.5906066120697797
mov15_a_favor,Q4 alto,1713,0.0972583429761268,0.38003502626970226,0.10451224662580567,2.059818724280092,0.18060070557609417,1.9678721528711487,0.055662391971539174,1.0000650295806368
dist_ema50_R,Q1 bajo,2020,-0.08621841873483052,0.32673267326732675,-0.09952299683099056,-1.920844369871744,-0.04362903678486018,-0.6012411464490783,-0.09367290943977975,-1.9962286311697108
dist_ema50_R,Q2,2020,0.04859093982625554,0.3594059405940594,0.0692148849120984,1.4627951926311715,0.06441143186774988,0.7980983835804882,0.016772452694887023,0.32442157435660834
dist_ema50_R,Q3,2020,0.07508666851958447,0.3668316831683168,0.05882702864313689,1.285536260507277,0.10101324485608097,1.1446976250218017,0.08676217730580515,1.6653912461705445
dist_ema50_R,Q4 alto,2020,0.08396556140793371,0.37722772277227723,0.08113334518382646,1.800505243312525,0.11488423259172022,1.3261882152706823,0.07640503540364826,1.4889934814329784
pend20_a_favor,Q1 bajo,2020,-0.04759685973682178,0.33564356435643566,-0.06763081137033931,-1.4162412853086241,-0.027788130618112267,-0.3593228520143427,-0.034532925448707084,-0.6876606271227711
pend20_a_favor,Q2,2020,0.016875630631517112,0.35148514851485146,0.017509012070041678,0.3684670509754986,0.044684791850623955,0.5617357098240305,0.004606371217066194,0.09059709751598546
pend20_a_favor,Q3,2020,0.06122461814598059,0.3668316831683168,0.07047504499327188,1.528750520297162,0.08339568006544125,0.974105178860597,0.04142537846457488,0.8067893769764433
pend20_a_favor,Q4 alto,2020,0.09092136197826732,0.37623762376237624,0.11671923228076972,2.438952647936244,0.11374128495015343,1.3599996526418572,0.05432307192283813,1.0999956019300128
gap_vi_atr,Q1 bajo,2020,0.03218733687386887,0.3608910891089109,0.15695381126830452,0.7483701513405981,0.034560055061203646,0.45615128110969977,0.027786263286671494,0.7812641358256619
