ts,de,a,gap_csv,spread_implicito,offset_segmento_viejo
2021-06-15,NQM1,NQU1,-2883.75,0.0,38254.75
2021-09-14,NQU1,NQZ1,-2891.0,-7.25,35371.0
2021-12-13,NQZ1,NQH2,-2820.5,70.5,32487.25
2022-03-15,NQH2,NQM2,-2890.5,-70.0,29596.25
2022-06-15,NQM2,NQU2,-2857.25,33.25,26775.75
2022-09-14,NQU2,NQZ2,-2777.0,80.25,23885.25
2022-12-14,NQZ2,NQH3,-2658.75,118.25,21028.0
2023-03-15,NQH3,NQM3,-2531.0,127.75,18251.0
2023-06-14,NQM3,NQU3,-2347.5,183.5,15592.25
2023-09-12,NQU3,NQZ3,-2149.75,197.75,13061.25
2023-12-13,NQZ3,NQH4,-1939.5,210.25,10713.75
2024-03-13,NQH4,NQM4,-1691.5,248.0,8564.0
2024-06-18,NQM4,NQU4,-1421.25,270.25,6624.5
2024-09-18,NQU4,NQZ4,-1182.5,238.75,4933.0
2024-12-19,NQZ4,NQH5,-910.0,272.5,3511.75
2025-03-20,NQH5,NQM5,-701.5,208.5,2329.25
2025-06-18,NQM5,NQU5,-479.25,222.25,1419.25
2025-09-17,NQU5,NQZ5,-238.5,240.75,717.75
2025-12-17,NQZ5,NQH6,0.0,238.5,238.5
