sym,tend_estricta,tp,ema_exit,entrada,modo,trades,por_dia,p_tp_5min,wr_neto,gan_media,perd_media,peor,pf,exp_pts,exp_usd,exp_bruto,DEV_exp_usd,DEV_wr,DEV_ptp,DEV_t,VAL1_exp_usd,VAL1_wr,VAL1_ptp,VAL1_t,VAL2_exp_usd,VAL2_wr,VAL2_ptp,VAL2_t
NQ,False,borde,EMA20,cierre,VI usuario,11925,3.1087069864442127,0.7112788259958072,0.5454088050314465,3.6307423124231253,-5.86372403615569,-284.038,0.7428874622930556,-0.6853584905660377,-13.707169811320753,-0.07517819706498952,-13.268316008316013,0.38856548856548856,0.6877338877338878,-16.543799238308072,-10.256103896103895,0.6031168831168832,0.7288311688311688,-3.1408311310229706,-15.39391136801541,0.669364161849711,0.7265895953757225,-4.49335426345646
NQ,False,borde,EMA20,cierre,NULO (sin VI),27410,7.145464025026069,0.6962787303903685,0.6882889456402773,1.4105834668558046,-5.7700791504565565,-203.288,0.5398033918305994,-0.8277084485880777,-16.554168971761555,-0.21377813118566966,-16.5516794972458,0.5813821885831506,0.5822310249699371,-37.095591142228976,-19.158957129597965,0.757500619885941,0.773865608727994,-8.9729402231942,-15.421061077895208,0.8216450216450216,0.8369047619047619,-8.138821983203487
NQ,False,borde,EMA20,open sig.,VI usuario,11925,3.1087069864442127,0.7112788259958072,0.5446540880503145,3.62027559661278,-5.866268876611419,-280.538,0.7381744241824535,-0.6993836477987423,-13.987672955974846,-0.08920335429769392,-13.607193347193352,0.39043659043659046,0.6877338877338878,-17.00132360213327,-10.492467532467531,0.6005194805194806,0.7288311688311688,-3.2274985468237274,-15.636685934489398,0.666859344894027,0.7265895953757225,-4.576800640825462
NQ,False,borde,EMA20,open sig.,NULO (sin VI),27410,7.145464025026069,0.6962787303903685,0.6293688434877782,1.5597544201108529,-4.892441389618223,-200.038,0.5413696541838064,-0.8316303748923461,-16.632607497846923,-0.21770005748993818,-16.595536043896434,0.5497630331753555,0.5822310249699371,-37.28907037802773,-19.34740245565797,0.7009670220679395,0.773865608727994,-9.079326469117005,-15.504394411228542,0.71991341991342,0.8369047619047619,-8.195439339395056
NQ,False,borde,EMA50,cierre,VI usuario,11920,3.10740354535975,0.7486577181208054,0.5825503355704698,3.7151682027649775,-6.765140273311896,-524.788,0.7663568003862246,-0.6598330536912751,-13.196661073825503,-0.05899748322147651,-12.789106029106033,0.4180873180873181,0.7272349272349272,-13.905509805825291,-6.81194805194805,0.6509090909090909,0.7719480519480519,-1.826746386158348,-15.945149469623907,0.7097396335583414,0.759884281581485,-3.7313312621886787
NQ,False,borde,EMA50,cierre,NULO (sin VI),27129,7.072210636079249,0.7094253381989752,0.702126875299495,1.4621041362103624,-6.215749765020782,-524.788,0.5544585171064222,-0.8249221963433208,-16.498443926866415,-0.2142785308930646,-16.75211369481571,0.5908993192404156,0.5917592260838409,-35.184903661549924,-15.863248174132208,0.7850723914128807,0.8005491762356465,-7.534797480017392,-16.389874181417117,0.8351876090750436,0.8487129144851658,-6.941922499934716
NQ,False,borde,EMA50,open sig.,VI usuario,11920,3.10740354535975,0.7486577181208054,0.5818791946308725,3.7074584775086517,-6.770694622792937,-521.288,0.7620335987917908,-0.6736753355704698,-13.473506711409396,-0.07283976510067114,-13.127983367983374,0.4207900207900208,0.7272349272349272,-14.281641335404288,-7.048311688311687,0.6483116883116883,0.7719480519480519,-1.895828129480096,-16.179479267116676,0.7066538090646094,0.759884281581485,-3.797451622337586
NQ,False,borde,EMA50,open sig.,NULO (sin VI),27129,7.072210636079249,0.7094253381989752,0.643886615798592,1.609310313482782,-5.238794826675829,-521.288,0.5554302205385915,-0.829391583346159,-16.58783166692318,-0.2187479178959029,-16.802633221866945,0.56022930849158,0.5917592260838409,-35.3634119394364,-16.208979577027865,0.7204193709435847,0.8005491762356465,-7.734776339044679,-16.426414321033175,0.737783595113438,0.8487129144851658,-6.972299420299383
NQ,False,borde,ambas,cierre,VI usuario,11920,3.10740354535975,0.75251677852349,0.585738255033557,3.7119283872815823,-6.822680032401782,-524.788,0.7692603416867136,-0.6521568791946308,-13.043137583892616,-0.052286073825503356,-12.747525987525991,0.42120582120582123,0.7311850311850312,-13.770280712167539,-6.300259740259739,0.6545454545454545,0.7761038961038961,-1.6890444020634967,-15.82075216972034,0.7128254580520733,0.7635486981677917,-3.6937134226242603
NQ,False,borde,ambas,cierre,NULO (sin VI),27052,7.0521376433785194,0.7133298831879343,0.7070456897826408,1.4507493498498103,-6.444093595195965,-198.038,0.5433480740753,-0.862078919390459,-17.24157838780918,-0.25241139018744263,-16.819109502557748,0.5997266776954614,0.5984319930950155,-34.146419059188105,-15.95727530423924,0.7818775100401606,0.7979417670682731,-7.643981122278584,-18.440732604567863,0.837315875613748,0.8508456082924168,-8.520030390259228
