sym,tf,k,n,p_relleno,nulo,exceso,dist_media,neto_pts,wr_neto,DEV_exceso,DEV_neto_atr%,VAL1_exceso,VAL1_neto_atr%,VAL2_exceso,VAL2_neto_atr%
NQ,1,0.5,200189,0.26522935825644767,0.3333333333333333,-0.06810397507688565,4.3781688804080146,-1.0201168995299443,0.22481255213822937,-0.032809653045882514,-1.8620577023395084,-0.0801546227078142,-0.7730835569551092,-0.09457177411029008,-0.48283995605076946
NQ,1,1.0,200189,0.4195435313628621,0.5,-0.0804564686371379,4.3781688804080146,-1.0932765136945586,0.35370574806807564,-0.03962004510530942,-1.9092915348023474,-0.0926777841671459,-0.8128642389415783,-0.11167647449227908,-0.525000841193194
NQ,1,2.0,200189,0.606491865187398,0.6666666666666666,-0.06017480147926868,4.3781688804080146,-1.0322204616637276,0.5032943868044698,-0.017940190869360162,-1.829030048025792,-0.07005942112325092,-0.7655737643556851,-0.09341769538221023,-0.49091006120502606
NQ,1,4.0,200189,0.7661010345223763,0.8,-0.03389896547762372,4.3781688804080146,-0.9262443590806686,0.6276618595427321,-0.0011263585744684113,-1.7059209815433276,-0.04119864545396468,-0.7239268825792425,-0.059822574222379576,-0.43212392102776237
NQ,5,0.5,41050,0.29373934226552983,0.3333333333333333,-0.03959399106780348,8.645919610231426,-0.9585359317904992,0.2749086479902558,-0.025008911652689425,-1.983062247643638,-0.04435000544840362,-0.6869912856487861,-0.052995436450140765,-0.45619510937996977
NQ,5,1.0,41050,0.46,0.5,-0.03999999999999998,8.645919610231426,-0.8777807551766137,0.4289890377588307,-0.022598075083019087,-1.9352939123136355,-0.045112781954887216,-0.6473543704487076,-0.05618992135158751,-0.405897349800227
NQ,5,2.0,41050,0.6326674786845311,0.6666666666666666,-0.033999187982135526,8.645919610231426,-0.8786151035322776,0.5842874543239951,-0.016922759422900113,-1.901156344081989,-0.03884711779448613,-0.6656021493374624,-0.049946596756966666,-0.4241175418414997
NQ,5,4.0,41050,0.7607064555420219,0.8,-0.03929354445797817,8.645919610231426,-1.061215590742996,0.6958830694275274,-0.028794956942646555,-2.0042693595459524,-0.03700555737169009,-0.6303538580175619,-0.05097582289542679,-0.5592723101792202
NQ,15,0.5,14393,0.2886125199749878,0.3333333333333333,-0.04472081335834549,14.28918571527826,-1.1816809560202874,0.28486069617175014,-0.03835916705808673,-2.3059857767529905,-0.04555348258706465,-0.8680486625151788,-0.05134766291368131,-0.6149701248844105
NQ,15,1.0,14393,0.44834294448690337,0.5,-0.05165705551309663,14.28918571527826,-1.1341231154033207,0.44132564441047734,-0.043760764051980594,-2.4293274450937647,-0.05550373134328357,-0.8529131466256353,-0.05885363357215967,-0.5868693614006556
NQ,15,2.0,14393,0.6050858055999444,0.6666666666666666,-0.061580861066722226,14.28918571527826,-1.32628249843674,0.5925102480372403,-0.05777360263034281,-2.5895400641598965,-0.05659203980099503,-0.62457773402775,-0.06755373592630498,-0.7410435548649646
NQ,15,4.0,14393,0.7029806155770166,0.8,-0.09701938442298341,14.28918571527826,-1.4179590078510387,0.6826234975335232,-0.10530765617660875,-2.9463736233173297,-0.07611940298507469,-0.10879391022521384,-0.09563288979870355,-0.955539903347378
ES,1,0.5,102840,0.29828860365616494,0.3333333333333333,-0.035044729677168374,1.3158547257876312,-0.6545450991831971,0.22826721120186697,0.0021685473886746687,-3.5907586755581367,-0.041831846712917065,-1.9712008228074012,-0.06798724441943349,-1.3545224664662543
ES,1,1.0,102840,0.4781505250875146,0.5,-0.0218494749124854,1.3158547257876312,-0.6540807856865032,0.34004278490859585,0.03026897873246437,-3.382944787182348,-0.030537661050545117,-1.9128156037431276,-0.0682836240855374,-1.404274243759469
ES,1,2.0,102840,0.6738234150136134,0.6666666666666666,0.007156748346946795,1.3158547257876312,-0.5975876896149357,0.46954492415402566,0.05545961376199604,-2.929082918565687,-0.002085398083911394,-1.7833008659707832,-0.035445507409491595,-1.3281800577870093
ES,1,4.0,102840,0.8172598210812914,0.8,0.017259821081291316,1.3158547257876312,-0.5337287825748736,0.5653150525087515,0.040103143999432156,-2.69101600830297,0.017641228939544007,-1.5452273997022088,-0.0046145188519978175,-1.1884424708977948
ES,5,0.5,25131,0.3047630416616927,0.3333333333333333,-0.028570291671640602,2.284051569774382,-0.639985125940074,0.2751183796904222,-0.016202730356291828,-3.87084749835924,-0.02515723270440251,-1.998230292149804,-0.04521896413788301,-1.3197245398410025
