etiqueta,año,top,sym,n,wr,R,R_suma
y12,2014,1.0,ES,243,0.3786008230452675,0.01283050599747372,3.117812957386114
y12,2014,1.0,NQ,243,0.3497942386831276,0.029931330491391645,7.27331330940817
y12,2014,1.0,YM,248,0.3870967741935484,0.09633107048647338,23.8901054806454
y12,2014,0.2,ES,150,0.38666666666666666,0.018993307183710315,2.8489960775565475
y12,2014,0.2,NQ,164,0.3780487804878049,0.11103618057414869,18.209933614160384
y12,2014,0.2,YM,140,0.37142857142857144,0.04552048109609778,6.372867353453689
y12,2014,0.1,ES,79,0.3924050632911392,0.02393184084753841,1.8906154269555344
y12,2014,0.1,NQ,81,0.4074074074074074,0.19927701140060866,16.141437923449303
y12,2014,0.1,YM,64,0.328125,-0.0947685797878555,-6.065189106422752
y12,2014,0.05,ES,32,0.34375,-0.12787650463847644,-4.092048148431246
y12,2014,0.05,NQ,36,0.4444444444444444,0.3103881225117227,11.173972410422017
y12,2014,0.05,YM,19,0.2631578947368421,-0.3565288457902867,-6.774048070015447
y12,2014,0.02,ES,6,0.16666666666666666,-0.5924347456679564,-3.5546084740077384
y12,2014,0.02,NQ,10,0.3,-0.12294521082161565,-1.2294521082161565
y12,2014,0.02,YM,5,0.2,-0.4600255728963744,-2.300127864481872
y12,2015,1.0,ES,250,0.348,-0.05357760281082909,-13.394400702707273
y12,2015,1.0,NQ,250,0.336,-0.020087127186438694,-5.021781796609673
y12,2015,1.0,YM,250,0.384,0.0866278375056035,21.656959376400877
y12,2015,0.2,ES,142,0.323943661971831,-0.12060375975247745,-17.125733884851797
y12,2015,0.2,NQ,162,0.35185185185185186,0.024675288615382464,3.997396755691959
y12,2015,0.2,YM,160,0.4,0.1397100985986389,22.353615775782224
y12,2015,0.1,ES,93,0.3333333333333333,-0.09243474566796783,-8.596431347121008
y12,2015,0.1,NQ,109,0.3669724770642202,0.06617883421317758,7.213492929236356
y12,2015,0.1,YM,84,0.40476190476190477,0.15375665852268433,12.915559315905483
y12,2015,0.05,ES,49,0.40816326530612246,0.1320550502503954,6.470697462269375
y12,2015,0.05,NQ,55,0.34545454545454546,0.013418425542033412,0.7380134048118376
y12,2015,0.05,YM,48,0.4583333333333333,0.31452735986473157,15.097313273507115
y12,2015,0.02,ES,17,0.5294117647058824,0.49580054844965993,8.428609323644219
y12,2015,0.02,NQ,24,0.4166666666666667,0.22705478917839073,5.449314940281377
y12,2015,0.02,YM,21,0.38095238095238093,0.08283156996078384,1.7394629691764605
y12,2016,1.0,ES,251,0.3466135458167331,-0.05712981155825129,-14.339582701121074
y12,2016,1.0,NQ,251,0.3665338645418327,0.0766563828038978,19.24075208377835
y12,2016,1.0,YM,251,0.32669322709163345,-0.07994589162144412,-20.066418796982475
y12,2016,0.2,ES,144,0.2986111111111111,-0.2045073952406123,-29.44906491464817
y12,2016,0.2,NQ,152,0.3815789473684211,0.12179163128366224,18.51232795511666
y12,2016,0.2,YM,147,0.32653061224489793,-0.0804337361616517,-11.823759215762799
y12,2016,0.1,ES,82,0.36585365853658536,-0.008757447356524365,-0.7181106832349979
y12,2016,0.1,NQ,84,0.39285714285714285,0.15562621774983046,13.072602290985758
y12,2016,0.1,YM,71,0.29577464788732394,-0.17270162923438048,-12.261815675641014
y12,2016,0.05,ES,30,0.26666666666666666,-0.3303834636166832,-9.911503908500496
y12,2016,0.05,NQ,37,0.2972972972972973,-0.13105331892970168,-4.848972800398962
y12,2016,0.05,YM,34,0.3235294117647059,-0.08943733760224447,-3.0408694784763117
y12,2016,0.02,ES,9,0.1111111111111111,-0.7591014123346544,-6.83191271101189
y12,2016,0.02,NQ,14,0.21428571428571427,-0.38008806796444794,-5.321232951502271
y12,2016,0.02,YM,9,0.1111111111111111,-0.7266922395630109,-6.540230156067098
y12,2017,1.0,ES,249,0.3493975903614458,-0.03294734882130081,-8.203889856503903
y12,2017,1.0,NQ,249,0.3493975903614458,0.032098654694106034,7.992565018832403
y12,2017,1.0,YM,249,0.357429718875502,0.011450709467380193,2.8512266573776683
y12,2017,0.2,ES,156,0.3525641025641026,-0.028725793801131296,-4.481223832976482
y12,2017,0.2,NQ,165,0.36363636363636365,0.07333438053728937,12.100172788652745
y12,2017,0.2,YM,148,0.3581081081081081,0.012931145404788692,1.9138095199087264
y12,2017,0.1,ES,90,0.34444444444444444,-0.04867256243212253,-4.380530618891028
y12,2017,0.1,NQ,93,0.3548387096774194,0.05109922546029466,4.7522279678074035
y12,2017,0.1,YM,87,0.3333333333333333,-0.062352075096701494,-5.42463053341303
y12,2017,0.05,ES,38,0.21052631578947367,-0.4361558906356871,-16.57392384415611
y12,2017,0.05,NQ,40,0.425,0.2742081035338165,10.96832414135266
y12,2017,0.05,YM,36,0.2777777777777778,-0.2397183890721261,-8.62986200659654
y12,2017,0.02,ES,7,0.14285714285714285,-0.6638633170965705,-4.647043219675994
y12,2017,0.02,NQ,13,0.38461538461538464,0.19906498719510485,2.587844833536363
y12,2017,0.02,YM,8,0.0,-1.0600255728963877,-8.480204583171101
y12,2018,1.0,ES,248,0.47580645161290325,0.3349846091707365,83.07618307434265
y12,2018,1.0,NQ,248,0.3951612903225806,0.16253866014613885,40.30958771624243
y12,2018,1.0,YM,248,0.4153225806451613,0.18063818818572538,44.79827067005989
y12,2018,0.2,ES,148,0.42567567567567566,0.18459228135905484,27.319657641140115
y12,2018,0.2,NQ,160,0.41875,0.23330478917839628,37.328766268543404
y12,2018,0.2,YM,165,0.42424242424242425,0.20472965588155603,33.780393220456745
y12,2018,0.1,ES,90,0.4444444444444444,0.24089858766535843,21.68087288988226
y12,2018,0.1,NQ,91,0.42857142857142855,0.26276907489268386,23.91198581523423
y12,2018,0.1,YM,85,0.4117647058823529,0.1752685447507077,14.897826303810152
y12,2018,0.05,ES,43,0.4883720930232558,0.3726815334017903,16.025305936276983
y12,2018,0.05,NQ,44,0.4090909090909091,0.20432751645112582,8.990410723849536
y12,2018,0.05,YM,46,0.45652173913043476,0.3095396444949486,14.238823646767635
y12,2018,0.02,ES,13,0.46153846153846156,0.2921806389474181,3.798348306316435
y12,2018,0.02,NQ,16,0.5625,0.6645547891783941,10.632876626854305
y12,2018,0.02,YM,13,0.3076923076923077,-0.13694864981943347,-1.780332447652635
y12,2019,1.0,ES,249,0.3815261044176707,0.046641097211261286,11.61363320560406
y12,2019,1.0,NQ,249,0.3453815261044177,-0.004915806878477202,-1.2240359127408231
y12,2019,1.0,YM,249,0.3453815261044177,-0.026209794972054955,-6.526238948041684
y12,2019,0.2,ES,154,0.37012987012987014,0.009058013273120327,1.3949340440605305
y12,2019,0.2,NQ,144,0.3194444444444444,-0.0858210734804922,-12.358234581190876
y12,2019,0.2,YM,146,0.363013698630137,0.02607766066102393,3.807338456509494
y12,2019,0.1,ES,81,0.3950617283950617,0.07672149151543918,6.214440812750574
y12,2019,0.1,NQ,82,0.2682926829268293,-0.23953427533032165,-19.641810577086375
y12,2019,0.1,YM,88,0.3522727272727273,-0.00808157176705286,-0.7111783155006517
y12,2019,0.05,ES,42,0.5,0.37665228318573096,15.8193958938007
y12,2019,0.05,NQ,40,0.275,-0.24195279306448186,-9.678111722579274
y12,2019,0.05,YM,44,0.36363636363636365,0.04072126158693236,1.7917355098250238
y12,2019,0.02,ES,11,0.2727272727272727,-0.2950937467459496,-3.2460312142054457
y12,2019,0.02,NQ,17,0.17647058823529413,-0.4935334461157152,-8.390068583967158
y12,2019,0.02,YM,15,0.3333333333333333,-0.031168191745396964,-0.46752287618095445
y12,2020,1.0,ES,245,0.32653061224489793,-0.10942112451512266,-26.808175506205053
y12,2020,1.0,NQ,245,0.3224489795918367,-0.05460336184233498,-13.37782365137207
y12,2020,1.0,YM,244,0.36885245901639346,0.046484299445537086,11.34216906471105
y12,2020,0.2,ES,161,0.30434782608695654,-0.17939126740710307,-28.881994052543593
y12,2020,0.2,NQ,163,0.36809815950920244,0.08134926770600542,13.259930636078884
