ts,de,a,gap_csv,spread_implicito,offset_segmento_viejo
2010-12-13 00:04:00,YMZ0,YMH1,-1868.0,0.0,190627.0
2011-03-14 00:05:00,YMH1,YMM1,-1973.0,-105.0,188759.0
2011-06-13 00:00:00,YMM1,YMU1,-1980.0,-7.0,186891.0
2011-09-12 00:00:00,YMU1,YMZ1,-2150.0,-170.0,184918.0
2011-12-12 00:00:00,YMZ1,YMH2,-2159.0,-9.0,182938.0
2012-03-12 00:01:00,YMH2,YMM2,-2212.0,-53.0,180788.0
2012-06-11 00:00:00,YMM2,YMU2,-2137.0,75.0,178629.0
2012-09-17 00:00:00,YMU2,YMZ2,-2370.0,-233.0,176417.0
2012-12-17 00:00:00,YMZ2,YMH3,-2382.0,-12.0,174280.0
2013-03-11 00:01:00,YMH3,YMM3,-2456.0,-74.0,171910.0
2013-06-17 00:00:00,YMM3,YMU3,-2466.0,-10.0,169528.0
2013-09-16 00:00:00,YMU3,YMZ3,-2439.0,27.0,167072.0
2013-12-16 00:00:00,YMZ3,YMH4,-2724.0,-285.0,164606.0
2014-03-17 00:00:00,YMH4,YMM4,-2725.0,-1.0,162167.0
2014-06-16 00:03:00,YMM4,YMU4,-2851.0,-126.0,159443.0
2014-09-15 00:00:00,YMU4,YMZ4,-2938.0,-87.0,156718.0
2014-12-15 00:00:00,YMZ4,YMH5,-2919.0,19.0,153867.0
2015-03-16 00:00:00,YMH5,YMM5,-3031.0,-112.0,150929.0
2015-06-15 00:01:00,YMM5,YMU5,-3203.0,-172.0,148010.0
2015-09-14 00:00:00,YMU5,YMZ5,-3223.0,-20.0,144979.0
2015-12-14 00:00:00,YMZ5,YMH6,-3236.0,-13.0,141776.0
2016-03-14 00:00:00,YMH6,YMM6,-3418.0,-182.0,138553.0
2016-06-13 00:00:00,YMM6,YMU6,-3561.0,-143.0,135317.0
2016-09-12 00:00:00,YMU6,YMZ6,-3671.0,-110.0,131899.0
2016-12-12 00:00:00,YMZ6,YMH7,-3618.0,53.0,128338.0
2017-03-13 00:00:00,YMH7,YMM7,-3680.0,-62.0,124667.0
2017-06-12 00:00:00,YMM7,YMU7,-3750.0,-70.0,121049.0
2017-09-11 00:00:00,YMU7,YMZ7,-3660.0,90.0,117369.0
2017-12-11 00:00:00,YMZ7,YMH8,-3727.0,-67.0,113619.0
2018-03-12 00:00:00,YMH8,YMM8,-3626.0,101.0,109959.0
2018-06-11 00:00:00,YMM8,YMU8,-3715.0,-89.0,106232.0
2018-09-17 00:00:00,YMU8,YMZ8,-3716.0,-1.0,102606.0
2018-12-17 00:00:00,YMZ8,YMH9,-3534.0,182.0,98891.0
2019-03-11 00:00:00,YMH9,YMM9,-3759.0,-225.0,95175.0
2019-06-17 00:00:00,YMM9,YMU9,-3575.0,184.0,91641.0
2019-09-17 00:00:00,YMU9,YMZ9,-3636.0,-61.0,87882.0
2019-12-16 00:00:00,YMZ9,YMH0,-3630.0,6.0,84307.0
2020-03-16 00:27:00,YMH0,YMM0,-4676.0,-1046.0,80671.0
2020-06-16 00:00:00,YMM0,YMU0,-3915.0,761.0,77041.0
2020-09-14 00:00:00,YMU0,YMZ0,-3771.0,144.0,72365.0
2020-12-14 00:00:00,YMZ0,YMH1,-3945.0,-174.0,68450.0
2021-03-15 00:00:00,YMH1,YMM1,-4188.0,-243.0,64679.0
2021-06-14 00:00:00,YMM1,YMU1,-4290.0,-102.0,60734.0
2021-09-13 00:00:00,YMU1,YMZ1,-4414.0,-124.0,56546.0
2021-12-14 00:00:00,YMZ1,YMH2,-4557.0,-143.0,52256.0
2022-03-14 00:00:00,YMH2,YMM2,-4529.0,28.0,47842.0
2022-06-13 00:00:00,YMM2,YMU2,-5051.0,-522.0,43285.0
2022-09-14 00:00:00,YMU2,YMZ2,-4592.0,459.0,38756.0
2022-12-13 00:00:00,YMZ2,YMH3,-4346.0,246.0,33705.0
2023-03-14 00:00:00,YMH3,YMM3,-4117.0,229.0,29113.0
2023-06-13 00:00:00,YMM3,YMU3,-3807.0,310.0,24767.0
2023-09-12 00:00:00,YMU3,YMZ3,-3478.0,329.0,20650.0
2023-12-12 00:00:00,YMZ3,YMH4,-3106.0,372.0,16843.0
2024-03-12 00:00:00,YMH4,YMM4,-2669.0,437.0,13365.0
2024-06-18 00:00:00,YMM4,YMU4,-2257.0,412.0,10259.0
2024-09-17 00:00:00,YMU4,YMZ4,-1858.0,399.0,7590.0
2024-12-17 00:00:00,YMZ4,YMH5,-1370.0,488.0,5333.0
2025-03-18 00:00:00,YMH5,YMM5,-1031.0,339.0,3475.0
2025-06-17 00:00:00,YMM5,YMU5,-706.0,325.0,2105.0
2025-09-16 00:00:00,YMU5,YMZ5,-368.0,338.0,1074.0
2025-12-16 00:00:00,YMZ5,YMH6,0.0,368.0,368.0
