plan,size,escenario,precio,p_aprobar,ev_fondeada,p_cobra_fondeada,ev_por_cuota,roi_cuota,cart_ev,cart_p_ganar,cart_p10,cart_p50,cart_p90,cart_examenes,cart_fondeadas,copia_ev,copia_p_ganar,copia_p50
select→select_flex,25,cons,76,0.28095,355.3962926356395,0.457125,23.548588415982906,0.30863156508496603,287.72509841720085,0.48025,-991.8999999999997,-53.80807929130981,1980.0388810929312,12.3422,3.46275,182.06042647483656,0.22,-763.0
select→select_flex,25,opt,76,0.3074,394.4414292837835,0.464,44.951295361835065,0.5891388645063573,556.1680767391732,0.5446,-991.8999999999997,130.55385273330444,2557.5860678466283,12.1079,3.71565,373.1937062182229,0.2396,-763.0
select→select_flex,50,cons,115,0.29095,927.2538987026375,0.699,154.28452182753233,1.335796725779501,1216.8437915726968,0.65145,-923.9999999999999,718.9995058007172,4065.259465933473,7.96465,2.31,759.493436894762,0.20145,-577.4999999999999
select→select_flex,50,opt,115,0.31625,1192.2742055063597,0.754125,261.5567174913862,2.2645603246007466,2087.2553633203843,0.75525,-923.9999999999999,1518.4117590099668,5675.605207297739,7.94515,2.51175,1271.3651262829692,0.2367,-577.4999999999999
select→select_flex,100,cons,186,0.2262,1611.9793735939547,0.799125,179.12973430695257,0.9656589450509573,903.0565094325632,0.4929,-927.5,-37.45432092095086,4242.788707618991,5.0,1.13795,884.963865207189,0.1814,-927.5
select→select_flex,100,opt,186,0.25375,2037.98670479825,0.8365,331.63912634255587,1.7878120018466623,1668.6090971521653,0.5805,-927.5,656.5589770191358,5965.92660397777,5.0,1.27245,1631.6620616894502,0.2089,-927.5
select→select_flex,150,cons,258,0.2282,2229.760347910517,0.785,250.53131139317992,0.9699237762027871,762.4966324410647,0.37325,-774.9000000000001,-774.9000000000001,4443.374229632796,3.0,0.68795,0.0,0.0,0.0
select→select_flex,150,opt,258,0.25495,2948.9721055123146,0.82725,493.54043830036466,1.9107256612480241,1508.6192306256175,0.44715,-774.9000000000001,-493.7597721688305,6510.733046774233,3.0,0.76805,0.0,0.0,0.0
growth→growth,25,cons,69,0.37155,276.975,0.19775,33.610061250000015,0.48499366883116907,393.7904550000002,0.47475,-970.1999999999997,-70.1999999999997,2629.8,11.81565,4.3845,314.2971,0.12195,-693.0
growth→growth,25,opt,69,0.3934,313.9875,0.212,54.22268250000002,0.7824340909090912,618.4255950000002,0.53565,-970.1999999999997,137.70000000000016,2837.7000000000003,11.48585,4.5084,435.8736,0.13655,-693.0
growth→growth,50,cons,102,0.36935,525.9998263055875,0.228375,92.77803584596873,0.9140693186794949,821.5950528826083,0.54035,-913.5,436.5,4486.5,8.76595,3.22985,472.3185680955498,0.0862,-507.5
growth→growth,50,opt,102,0.39725,914.9695047515746,0.335625,261.971635762563,2.581001337562197,2253.7703709862276,0.7177,-913.5,1786.5,7179.071169438836,8.695,3.43465,1260.056358369403,0.1328,-507.5
growth→growth,100,cons,178,0.34555,1097.775,0.288,200.83615125000006,1.1251325000000003,988.41,0.41015,-892.5,-892.5,4507.5,5.0,1.7295,983.1,0.10045,-892.5
growth→growth,100,opt,178,0.3614,1756.35,0.371875,456.24488999999994,2.555993781512605,2309.97,0.51965,-892.5,907.5,8107.5,5.0,1.80865,2283.6,0.13585,-892.5
growth→growth,150,cons,258,0.3462,1791.28125,0.28925,361.84156875,1.4008577961672475,1121.9624999999999,0.2719,-774.9000000000001,-774.9000000000001,3725.1,3.0,1.0424,0.0,0.0,0.0
growth→growth,150,opt,258,0.36455,2221.03125,0.323125,551.3769421874999,2.1346377939895467,1633.95,0.31515,-774.9000000000001,-774.9000000000001,5975.1,3.0,1.0966,0.0,0.0,0.0
lightning,25,cons,241,1.0,224.1,0.164875,-17.399999999999977,-0.0720496894409937,-72.34499999999993,0.25495,-965.9999999999999,-65.99999999999989,1734.0,4.0,4.0,0.0,0.0,0.0
lightning,25,opt,241,1.0,279.225,0.1885,37.72500000000005,0.15621118012422383,139.56000000000006,0.31025,-965.9999999999999,-65.99999999999989,1734.0,4.0,4.0,0.0,0.0,0.0
lightning,50,cons,344,1.0,533.25,0.228375,188.85000000000002,0.5483449477351917,389.04,0.40605,-688.8,-688.8,2911.2,2.0,2.0,0.0,0.0,0.0
lightning,50,opt,344,1.0,897.3,0.335625,552.9,1.6054006968641115,1128.12,0.5638,-688.8,1111.2,4711.2,2.0,2.0,0.0,0.0,0.0
lightning,100,cons,462,1.0,1201.5,0.24825,739.5,1.6006493506493509,1487.6625,0.4379,-923.9999999999999,-923.9999999999999,8076.0,2.0,2.0,0.0,0.0,0.0
lightning,100,opt,462,1.0,1483.3125,0.28775,1021.3125,2.210633116883117,2104.5,0.4962,-923.9999999999999,-923.9999999999999,8076.0,2.0,2.0,0.0,0.0,0.0
lightning,150,cons,557,1.0,1366.5375,0.22325,809.3375,1.4525080760947597,816.02,0.22495,-557.1999999999999,-557.1999999999999,4842.8,1.0,1.0,0.0,0.0,0.0
lightning,150,opt,557,1.0,1735.425,0.256625,1178.225,2.114545944005743,1227.5,0.2604,-557.1999999999999,-557.1999999999999,4842.8,1.0,1.0,0.0,0.0,0.0
