escenario,flex,planes,modo_cartera,media,mediana,p10,p90,p_ganar,p_quiebra,cuotas,cobrado,examenes,fondeadas
cons,estable,select,copiar (mismo trade),3175.3519703132056,-990.0,-990.0,14079.75997915647,0.3456666666666667,0.6413333333333333,1878.954,5054.305970313206,18.979333333333333,5.492666666666667
cons,estable,select,"copiar, 1 examen a la vez",2151.8499535543815,942.4481466007003,-990.0,6905.374217836908,0.657,0.18,1423.059,3574.9089535543812,14.374333333333333,4.078
cons,estable,select,diversificar horario,5783.8756657325,5131.503946588879,-990.0,14543.123426307464,0.6856666666666666,0.2926666666666667,2560.206,8344.081665732501,25.860666666666667,8.136333333333333
cons,estable,select,"diversificar, 2 exámenes a la vez",4876.705584729064,3963.7560732872275,-990.0,12632.40656641835,0.7303333333333333,0.21733333333333332,2195.589,7072.294584729064,22.177666666666667,7.0793333333333335
cons,estable,select,independiente (cota),4381.253504724155,4286.866092414188,-990.0,9569.50872494179,0.8026666666666666,0.17166666666666666,3377.748,7759.001504724155,34.11866666666667,9.652333333333333
cons,estable,ambos,copiar (mismo trade),6809.415136062741,-960.0,-960.0,33203.91674534936,0.22466666666666665,0.7733333333333333,2770.571,9579.986136062742,29.009,10.081333333333333
cons,estable,ambos,"copiar, 1 examen a la vez",8418.741327226131,-936.0,-947.1427261170625,32524.39481293829,0.36666666666666664,0.629,3008.81,11427.551327226132,31.913333333333334,11.606
cons,estable,ambos,diversificar horario,9541.285010569483,-928.1148151707351,-960.0,32855.07163712934,0.447,0.5473333333333333,4189.574,13730.859010569484,43.962666666666664,16.042
cons,estable,ambos,"diversificar, 2 exámenes a la vez",8841.582486195366,-925.4549930657818,-947.3339230428627,31246.23942497584,0.44233333333333336,0.5493333333333333,3832.335,12673.917486195369,40.410333333333334,15.045
cons,estable,ambos,independiente (cota),14396.26786294339,15357.926911350161,-960.0,28558.119891727474,0.758,0.24,7271.783,21668.05086294339,76.31966666666666,26.507666666666665
cons,rapida,select,copiar (mismo trade),7456.935105793667,-990.0,-990.0,27041.51312970271,0.16266666666666665,0.836,1727.517,9184.452105793669,17.449666666666666,5.097666666666667
cons,rapida,select,"copiar, 1 examen a la vez",5477.718542763371,864.0,-990.0,16416.0,0.579,0.39766666666666667,1307.691,6785.409542763372,13.209,3.7853333333333334
cons,rapida,select,diversificar horario,13171.013324594662,-990.0,-990.0,47232.90191770053,0.4226666666666667,0.5733333333333334,2904.231,16075.244324594662,29.33566666666667,9.195666666666666
cons,rapida,select,"diversificar, 2 exámenes a la vez",9916.387041083573,602.1377551135436,-990.0,34783.93265751756,0.5066666666666667,0.45766666666666667,2026.167,11942.554041083575,20.466333333333335,6.56
cons,rapida,select,independiente (cota),4616.145033644484,-990.0,-990.0,20134.268098338543,0.29933333333333334,0.6946666666666667,2830.707,7446.8520336444835,28.593,8.22
cons,rapida,ambos,copiar (mismo trade),10503.034368733082,-960.0,-960.0,39936.20263824315,0.18066666666666667,0.8183333333333334,2782.24,13285.274368733084,28.951333333333334,9.798333333333334
cons,rapida,ambos,"copiar, 1 examen a la vez",10003.018500714154,-936.0,-942.0,37832.69999999999,0.3626666666666667,0.634,2955.682,12958.700500714152,31.350666666666665,11.412
cons,rapida,ambos,diversificar horario,15275.478227734,-960.0,-960.0,56264.234272996895,0.36766666666666664,0.6286666666666667,4451.325,19726.803227734,46.36833333333333,16.304333333333332
cons,rapida,ambos,"diversificar, 2 exámenes a la vez",11886.422544841724,-942.0,-942.0,40482.8278042232,0.421,0.5723333333333334,3832.867,15719.289544841724,40.35633333333333,14.931333333333333
cons,rapida,ambos,independiente (cota),13559.337934896505,7455.05062313929,-960.0,38660.41748224191,0.5436666666666666,0.45366666666666666,6925.91,20485.247934896503,72.12533333333333,24.081
opt,estable,select,copiar (mismo trade),9805.240836118659,6679.767840863726,-990.0,27484.055183585388,0.5626666666666666,0.43366666666666664,2083.356,11888.59683611866,21.044,8.547666666666666
opt,estable,select,"copiar, 1 examen a la vez",6943.917194491251,5350.700335438199,184.6288247155006,16301.430145580312,0.9113333333333333,0.04466666666666667,1578.819,8522.736194491252,15.947666666666667,6.426333333333333
opt,estable,select,diversificar horario,9502.272875844583,9721.057553512983,-990.0,18582.28330529135,0.826,0.16166666666666665,2951.586,12453.858875844582,29.814,10.583666666666666
opt,estable,select,"diversificar, 2 exámenes a la vez",9448.763627591134,9202.46175459792,1291.003527335711,17529.52004794497,0.9266666666666666,0.062,2511.96,11960.723627591136,25.373333333333335,10.148666666666667
opt,estable,select,independiente (cota),13668.358143662907,13686.51709965261,7767.742081172736,19988.20104114717,0.9823333333333333,0.017333333333333333,3210.867,16879.22514366291,32.433,13.167333333333334
opt,estable,ambos,copiar (mismo trade),19866.291050390635,-960.0,-960.0,70955.26435657716,0.37433333333333335,0.6253333333333333,3648.053,23514.344050390635,38.318333333333335,16.397666666666666
opt,estable,ambos,"copiar, 1 examen a la vez",21334.942166317134,9090.223798458377,-942.0,63417.86512338566,0.5323333333333333,0.4666666666666667,3889.611,25224.55316631713,41.224333333333334,17.642333333333333
opt,estable,ambos,diversificar horario,15785.704885618172,10569.084747735065,-960.0,43763.0060373571,0.5746666666666667,0.42233333333333334,5738.969,21524.67388561817,60.371,24.051666666666666
opt,estable,ambos,"diversificar, 2 exámenes a la vez",15590.11226423148,10707.82652972521,-942.0,42424.912180305444,0.5776666666666667,0.4186666666666667,5273.869,20863.98126423148,55.69433333333333,23.498
opt,estable,ambos,independiente (cota),37963.242030543784,39342.64464084456,20867.423183218703,54936.099059395776,0.935,0.065,8413.956,46377.19803054378,88.54133333333333,37.55733333333333
opt,rapida,select,copiar (mismo trade),26671.977097334486,-990.0,-990.0,119790.0,0.27366666666666667,0.725,1855.557,28527.53409733449,18.743,7.660333333333333
opt,rapida,select,"copiar, 1 examen a la vez",19452.895064146498,8501.0238143742,-990.0,54874.600899738936,0.7736666666666666,0.219,1524.831,20977.7260641465,15.402333333333333,6.221
opt,rapida,select,diversificar horario,21889.198784413344,-915.6223151194222,-990.0,68929.68578466162,0.497,0.502,3344.583,25233.781784413342,33.78366666666667,11.531666666666666
opt,rapida,select,"diversificar, 2 exámenes a la vez",22266.852822321798,12285.0,-990.0,62757.73766073649,0.6693333333333333,0.32366666666666666,2508.99,24775.842822321796,25.343333333333334,10.189333333333334
opt,rapida,select,independiente (cota),25313.893024502795,13337.180608151924,-990.0,69904.07889637351,0.5513333333333333,0.44733333333333336,3795.099,29108.992024502793,38.33433333333333,15.513333333333334
opt,rapida,ambos,copiar (mismo trade),32926.94123002976,-960.0,-960.0,140901.0,0.273,0.7266666666666667,3314.794,36241.735230029764,34.60066666666667,14.768333333333333
opt,rapida,ambos,"copiar, 1 examen a la vez",28319.280016953144,1093.5,-942.0,85700.48947289478,0.5013333333333333,0.498,3752.573,32071.853016953144,39.75633333333333,16.994
opt,rapida,ambos,diversificar horario,25555.187543992917,-942.0,-960.0,84237.21242290168,0.44,0.558,5737.2,31292.387543992918,59.88733333333333,22.945
opt,rapida,ambos,"diversificar, 2 exámenes a la vez",23739.50381413497,2577.161533358911,-942.0,74237.35053351037,0.5056666666666667,0.49366666666666664,5079.929,28819.432814134976,53.513,22.462333333333333
opt,rapida,ambos,independiente (cota),47981.23005300089,49860.51806861018,-960.0,96971.57688283561,0.7266666666666667,0.2733333333333333,8817.975,56799.205053000886,91.903,38.543
