escenario,firmas,cupos,examenes_paralelo,aportado,cuotas_gastadas,examenes,fondeadas,cobrado,neto_media,neto_mediana,p10,p25,p75,p90,p_ganar,roi_medio
conservador (2011-20),1,10,2,25200.0,8501.071,89.72233333333334,33.349666666666664,29421.830058190317,20920.759058190317,18852.74507668485,1413.771657689481,8725.325168291758,31178.84449585954,42675.10373052803,0.9206666666666666,2.460955691134719
conservador (2011-20),1,10,5,25200.0,9157.462,96.39466666666667,35.374,31887.451726695785,22729.989726695785,20851.88306045293,2591.1800236047347,10729.58930430687,33069.34900163413,45243.53217805908,0.9286666666666666,2.4821276601197786
conservador (2011-20),2,20,2,25200.0,16462.76,173.704,64.454,56239.773408915404,39777.013408915394,35602.52171217873,1593.371884524601,16206.873951462056,59299.87220503621,83151.93026550002,0.9126666666666666,2.416181333440772
conservador (2011-20),2,20,5,25200.0,17401.675,183.14166666666668,67.35466666666666,59867.89254246576,42466.21754246576,38522.02125937415,3714.06997042696,19145.094251152565,61969.31640902469,86771.5993576428,0.9206666666666666,2.4403522961132054
conservador (2011-20),3,30,2,25200.0,23577.405,248.64233333333334,92.255,79758.1161161201,56180.71111612011,50020.28452586519,-63.69682104631387,21027.556617995826,85371.8576221238,120635.22601339,0.899,2.382819954788074
conservador (2011-20),3,30,5,25200.0,24775.654,260.73266666666666,95.818,83794.19124543323,59018.53724543323,53216.506948002665,1328.9601332942375,23844.709720315583,87620.41948943477,123783.5280103615,0.9036666666666666,2.382118237743925
reciente (2021-26),1,10,2,25200.0,9586.86,101.38933333333334,42.745666666666665,38262.6988687664,28675.838868766397,26919.284717601506,8283.654559177547,16205.73890202128,38932.4578475852,52006.345545942815,0.9766666666666667,2.99116070003801
reciente (2021-26),1,10,5,25200.0,10296.826,108.63133333333333,44.019,39692.754737169824,29395.928737169823,27801.72576878228,8668.397727398273,16759.61894549658,40298.28188072033,52759.7600776118,0.9783333333333334,2.8548534021231227
reciente (2021-26),2,20,2,25200.0,18557.178,196.20933333333332,82.848,74096.07114733018,55538.893147330185,51655.09917381385,15372.348898451557,31217.458453675463,76328.25108131683,101671.21563364494,0.9746666666666667,2.992852315547665
reciente (2021-26),2,20,5,25200.0,19702.033,207.827,83.88966666666667,75358.66207856577,55656.62907856578,51804.12148426681,15476.331251235437,31120.461893599313,77047.527584182,101123.09311618401,0.9746666666666667,2.824918072087575
reciente (2021-26),3,30,2,25200.0,26847.102,283.738,119.64933333333333,107146.29194716962,80299.18994716962,74415.52122284847,21262.780365689912,43804.96417831082,111289.32963201342,148823.57677363258,0.9713333333333334,2.9909816689775166
reciente (2021-26),3,30,5,25200.0,28396.038,299.524,120.731,107304.49301845976,78908.45501845975,73474.55376049204,19263.22598466276,42597.49698704264,110064.36128675696,146984.83708955295,0.9706666666666667,2.7788543957597094
