select,retiro,growth,cons_neto,cons_mediana,cons_p10,cons_p_ganar,cons_cuotas,cons_fondeadas,cons_cobrado,opt_neto,opt_mediana,opt_p10,opt_p_ganar,opt_cuotas,opt_fondeadas,opt_cobrado,min_neto
S1 conservadora (R150 S60 T120 K1),retiro en cuanto se pueda,G1 (R252 S112 T163 K2 G450),58477.879614500285,52108.40347954383,1299.7831074181304,0.9033333333333333,24954.18,96.394,83432.05961450028,78044.97293550748,73163.11013409533,18114.46690119795,0.97,28395.408,120.756,106440.38093550746,58477.879614500285
S1 conservadora (R150 S60 T120 K1),retiro en cuanto se pueda,G2 agresiva (R868 S80 T112 K3 G450),182614.9741422166,173939.89349185824,64996.86556468623,0.982,59433.184,242.89533333333333,242048.1581422166,219216.89557089246,208825.24542679815,103921.1379152413,0.9946666666666667,65865.374,287.992,285082.26957089244,182614.9741422166
S1 conservadora (R150 S60 T120 K1),retiro en cuanto se pueda,G1 + colchón 2500,46151.84792499241,39746.24323757437,-7185.068061327992,0.8506666666666667,21719.826,82.82933333333334,67871.67392499241,63443.05053320481,57614.17623229544,6854.749261422187,0.9306666666666666,24428.518,103.086,87871.56853320483,46151.84792499241
S1 conservadora (R150 S60 T120 K1),"esperar a retirar >= $1,000",G1 (R252 S112 T163 K2 G450),44804.41757271493,37186.25620669348,-9088.642310117906,0.8473333333333334,24207.586,93.70266666666667,69012.00357271492,61778.636787571944,56499.46942408511,4644.323379549036,0.9273333333333333,27499.048,117.23666666666666,89277.68478757195,44804.41757271493
S1 conservadora (R150 S60 T120 K1),"esperar a retirar >= $1,000",G2 agresiva (R868 S80 T112 K3 G450),166422.97959158834,156100.15978526202,51946.57921774877,0.9693333333333334,58028.808,237.11,224451.78759158833,199236.22441507698,190498.68991525672,87349.19959166202,0.9906666666666667,64114.248,280.22,263350.472415077,166422.97959158834
S1 conservadora (R150 S60 T120 K1),"ir por el máximo ($2,500)",G1 (R252 S112 T163 K2 G450),33454.16042478515,25657.5,-13907.699999999999,0.7886666666666666,22660.384,88.87266666666666,56114.54442478515,48551.224381639666,42117.0,-3691.2,0.8733333333333333,25549.42,110.422,74100.64438163966,33454.16042478515
S1 conservadora (R150 S60 T120 K1),"ir por el máximo ($2,500)",G2 agresiva (R868 S80 T112 K3 G450),153889.724,143514.0,43970.4,0.9653333333333334,56204.476,230.98733333333334,210094.2,184492.39,174579.0,73383.0,0.9853333333333333,61804.31,271.71933333333334,246296.7,153889.724
S2 media (R300 S60 T120 K1),retiro en cuanto se pueda,G1 (R252 S112 T163 K2 G450),64532.70400896239,57788.96555493002,-300.24542788772,0.8986666666666666,30308.032,112.44866666666667,94840.7360089624,89191.38065736457,83350.13284201184,21966.53265460797,0.97,35087.044,141.66066666666666,124278.42465736457,64532.70400896239
S2 media (R300 S60 T120 K1),retiro en cuanto se pueda,G2 agresiva (R868 S80 T112 K3 G450),189307.03416657393,179523.60552404088,66283.97314952905,0.9826666666666667,64960.36,259.58733333333333,254267.3941665739,231827.55550974948,221452.00827375782,109407.4299814953,0.9966666666666667,72770.332,309.71133333333336,304597.88750974956,189307.03416657393
S2 media (R300 S60 T120 K1),"esperar a retirar >= $1,000",G1 (R252 S112 T163 K2 G450),57239.925079271656,49414.784407503896,-5698.377996477063,0.868,29401.292,109.816,86641.21707927165,80731.37395165057,74071.32745116748,12640.59936259185,0.9546666666666667,34148.432,138.688,114879.80595165057,57239.925079271656
S2 media (R300 S60 T120 K1),"esperar a retirar >= $1,000",G2 agresiva (R868 S80 T112 K3 G450),180595.86513433568,169731.45353234705,57948.67999173413,0.9766666666666667,63793.578,255.30933333333334,244389.44313433568,220030.29794765907,210875.373526341,98867.0096304597,0.9913333333333333,71463.208,304.624,291493.5059476591,180595.86513433568
S2 media (R300 S60 T120 K1),"ir por el máximo ($2,500)",G1 (R252 S112 T163 K2 G450),49322.54851513106,39178.5,-13926.0,0.81,26278.054,99.99266666666666,75600.60251513106,72222.71224212827,65610.0,2964.300000000002,0.9133333333333333,30008.836,125.52933333333333,102231.5482421283,49322.54851513106
S2 media (R300 S60 T120 K1),"ir por el máximo ($2,500)",G2 agresiva (R868 S80 T112 K3 G450),169995.178,158368.5,44174.40000000001,0.9653333333333334,60208.322,243.48933333333332,230203.5,209268.614,199309.5,82066.2,0.9853333333333333,66480.286,287.802,275748.9,169995.178
S3 media+ (R400 S60 T180 K2),retiro en cuanto se pueda,G1 (R252 S112 T163 K2 G450),76769.2557108893,66115.99957815345,-1440.6392898520585,0.8926666666666667,32808.718,119.748,109577.9737108893,107823.3805967149,95371.62111883872,16799.83671892033,0.9493333333333334,38423.102,150.936,146246.4825967149,76769.2557108893
S3 media+ (R400 S60 T180 K2),retiro en cuanto se pueda,G2 agresiva (R868 S80 T112 K3 G450),201545.49472159095,188381.99459974453,64324.532480873924,0.98,67404.538,266.01533333333333,268950.032721591,250739.96652425584,239916.7391913938,109530.34587039657,0.9946666666666667,76302.318,319.334,327042.28452425584,201545.49472159095
S3 media+ (R400 S60 T180 K2),"esperar a retirar >= $1,000",G1 (R252 S112 T163 K2 G450),75993.07808526294,64652.68455747843,-2521.5194641099474,0.8853333333333333,32651.85,119.05666666666667,108644.92808526293,106585.02133319054,94616.15850809109,17138.186657811548,0.9453333333333334,38305.888,150.49133333333333,144890.90933319053,75993.07808526294
S3 media+ (R400 S60 T180 K2),"esperar a retirar >= $1,000",G2 agresiva (R868 S80 T112 K3 G450),200673.47679481521,187092.0649573962,63508.062757021245,0.98,67167.516,265.1186666666667,267840.9927948152,249015.45523743716,236841.85978823807,108686.29903534656,0.994,76208.498,319.0613333333333,325223.9532374372,200673.47679481521
S3 media+ (R400 S60 T180 K2),"ir por el máximo ($2,500)",G1 (R252 S112 T163 K2 G450),74804.65029024665,60037.5,-11040.0,0.844,30932.07,113.89333333333333,105736.72029024665,108628.57500659241,93622.5,6651.3,0.9253333333333333,36297.172,144.33933333333334,144925.7470065924,74804.65029024665
S3 media+ (R400 S60 T180 K2),"ir por el máximo ($2,500)",G2 agresiva (R868 S80 T112 K3 G450),198374.294,181707.0,50732.700000000004,0.9693333333333334,65334.106,259.25733333333335,263708.4,249246.562,233065.5,96444.3,0.9913333333333333,73796.138,310.46933333333334,323042.7,198374.294
S4 agresiva (R500 S38 T148 K8 G150),retiro en cuanto se pueda,G1 (R252 S112 T163 K2 G450),76627.09365877492,62581.965429453405,-3563.160592155055,0.88,33607.772,122.158,110234.86565877491,105694.97772902659,91561.76208819845,10841.418190084163,0.936,39732.934,154.66,145427.9117290266,76627.09365877492
S4 agresiva (R500 S38 T148 K8 G150),retiro en cuanto se pueda,G2 agresiva (R868 S80 T112 K3 G450),199973.6399296584,180401.94897689458,58445.09692946611,0.9753333333333334,68234.482,268.9046666666667,268208.1219296584,247295.07618303847,232727.0198688308,101685.0413660636,0.9946666666666667,77691.18,323.0966666666667,324986.25618303847,199973.6399296584
S4 agresiva (R500 S38 T148 K8 G150),"esperar a retirar >= $1,000",G1 (R252 S112 T163 K2 G450),76613.33078282548,62249.94115536859,-3707.238167873504,0.878,33609.214,122.16466666666666,110222.54478282547,105787.38294432795,91719.78105583937,10841.418190084163,0.936,39731.69,154.642,145519.07294432796,76613.33078282548
S4 agresiva (R500 S38 T148 K8 G150),"esperar a retirar >= $1,000",G2 agresiva (R868 S80 T112 K3 G450),200040.36910160104,180119.33465748,58483.285562978584,0.9746666666666667,68246.332,268.9526666666667,268286.70110160107,247226.6941547686,232420.0168159334,101341.34386115172,0.9946666666666667,77703.856,323.1093333333333,324930.55015476857,200040.36910160104
S4 agresiva (R500 S38 T148 K8 G150),"ir por el máximo ($2,500)",G1 (R252 S112 T163 K2 G450),75609.92487768814,61098.0,-7889.099999999999,0.864,33304.512,120.966,108914.43687768815,104368.40697383782,90151.5,6880.200000000003,0.9253333333333333,39435.186,153.66333333333333,143803.5929738378,75609.92487768814
S4 agresiva (R500 S38 T148 K8 G150),"ir por el máximo ($2,500)",G2 agresiva (R868 S80 T112 K3 G450),199002.002,177462.0,57404.1,0.9706666666666667,67856.098,267.458,266858.1,245224.942,231786.0,99231.6,0.992,77316.158,321.818,322541.1,199002.002
S5 muy agresiva (R1000 S46 T98 K2 G150),retiro en cuanto se pueda,G1 (R252 S112 T163 K2 G450),78377.44936207852,65599.91181537003,-1215.352072573707,0.894,33715.024,122.278,112092.47336207853,114412.12899470846,100866.4520263447,12467.501341466079,0.9446666666666667,39546.578,154.52,153958.70699470845,78377.44936207852
S5 muy agresiva (R1000 S46 T98 K2 G150),retiro en cuanto se pueda,G2 agresiva (R868 S80 T112 K3 G450),203679.5959865416,186058.18129278364,61633.939231652934,0.978,68276.242,268.684,271955.83798654156,257038.53314511944,243405.91363451866,107962.21151200114,0.9913333333333333,77161.848,321.376,334200.38114511943,203679.5959865416
S5 muy agresiva (R1000 S46 T98 K2 G150),"esperar a retirar >= $1,000",G1 (R252 S112 T163 K2 G450),78296.71841620296,65266.27027669244,-1227.2336986889602,0.8926666666666667,33713.312,122.274,112010.03041620295,114368.74942119348,100720.3247895829,12100.211399999997,0.9433333333333334,39537.792,154.506,153906.54142119348,78296.71841620296
