politica,examenes_simultaneos_por_plan,esc,examenes_mes,fondeadas_mes,cuotas,cobrado,neto,mediana,p10,p_ganar,cobrado_por_fondeada,neto_por_examen
Actual (S1 + G1),1,cons,12.337592592592593,4.479555555555556,20947.894,66674.27300352433,45726.37900352432,39870.015121719225,-3352.0669965868397,0.8726666666666667,826.8959346602381,205.9035723557525
Actual (S1 + G1),1,opt,14.019407407407407,5.988333333333333,23782.452,94431.8261640901,70649.37416409008,65695.5440380686,16470.61034551761,0.964,876.0722345680499,279.96655759247795
Actual (S1 + G1),2,cons,13.886259259259258,5.148185185185185,23698.758,79391.58335058716,55692.82535058714,50152.4523163279,-266.91415154694175,0.898,856.7375416427273,222.81348742263393
Actual (S1 + G1),2,opt,15.800296296296295,6.6563333333333325,26909.24,106299.23701318189,79389.9970131819,74570.55004774188,19511.084258256997,0.97,887.2021384244069,279.1438405275402
Actual (S1 + G1),5,cons,14.590814814814813,5.355222222222222,24954.18,83432.05961450028,58477.879614500285,52108.40347954383,1299.7831074181304,0.9033333333333333,865.5316680965649,222.6586473015759
Actual (S1 + G1),5,opt,16.63985185185185,6.708666666666667,28395.408,106440.38093550746,78044.97293550748,73163.11013409533,18114.46690119795,0.97,881.4500392155045,260.56913657364566
Escala (S3 + G2 agresiva),1,cons,24.80637037037037,9.283814814814814,41829.94,171952.60405953883,130122.66405953885,112739.6178492079,28152.917724255505,0.9753333333333334,1028.9867514922755,291.4185664514317
Escala (S3 + G2 agresiva),1,opt,27.842,11.961666666666666,46943.932,228601.24809175858,181657.31609175858,168513.75784137027,65531.29767397524,0.998,1061.730751436341,362.47658631595465
Escala (S3 + G2 agresiva),2,cons,33.25762962962963,12.752703703703704,56240.78,231186.77276430218,174945.99276430218,161907.6671330185,53039.744128964696,0.9826666666666667,1007.1362039319281,292.24036494711686
Escala (S3 + G2 agresiva),2,opt,37.60433333333334,15.84488888888889,63593.554,294415.734418753,230822.18041875298,219783.84579251395,98871.78838870737,0.9986666666666667,1032.2842782066175,341.01002014949955
Escala (S3 + G2 agresiva),5,cons,39.64937037037037,14.778629629629629,67404.538,268950.032721591,201545.49472159095,188381.99459974453,64324.532480873924,0.98,1011.032068533359,282.399741140522
Escala (S3 + G2 agresiva),5,opt,44.86996296296296,17.74077777777778,76302.318,327042.28452425584,250739.96652425584,239916.7391913938,109530.34587039657,0.9946666666666667,1024.1386276571109,310.45263290577446
