R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,20,1,1,300.0,-1,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,300.0,0,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,300.0,500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,300.0,1000,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,300.0,1500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,300.0,2500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,-1,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,0,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,1000,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,1500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,600.0,2500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,-1,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,0,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,1000,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,1500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,1,1000000000.0,2500,0.0,0.0,0.0,143.95666666666668,-234.19793502895996,-409.9697568293554
100,20,1,2,300.0,-1,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,300.0,0,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,300.0,500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,300.0,1000,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,300.0,1500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,300.0,2500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,-1,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,0,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,1000,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,1500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,600.0,2500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,-1,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,0,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,1000,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,1500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,1,2,1000000000.0,2500,0.0,0.0,0.0,84.31733333333334,-234.19793502895996,-699.9495512266901
100,20,2,1,300.0,-1,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,300.0,0,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,300.0,500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,300.0,1000,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,300.0,1500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,300.0,2500,2.7,0.002,0.002,151.39866666666666,-231.49793502895997,-385.32360232563417
100,20,2,1,600.0,-1,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,600.0,0,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,600.0,500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,600.0,1000,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,600.0,1500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,600.0,2500,2.7,0.002,0.002,151.39866666666666,-231.49793502895997,-385.32360232563417
100,20,2,1,1000000000.0,-1,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,1000000000.0,0,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,1000000000.0,500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,1000000000.0,1000,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,1000000000.0,1500,12.6,0.008666666666666666,0.009333333333333334,151.32266666666666,-221.59793502895997,-369.030501889767
100,20,2,1,1000000000.0,2500,2.7,0.002,0.002,151.39866666666666,-231.49793502895997,-385.32360232563417
100,20,2,2,300.0,-1,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,300.0,0,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,300.0,500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,300.0,1000,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,300.0,1500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,300.0,2500,7.2,0.004666666666666667,0.005333333333333333,93.45866666666667,-226.99793502895997,-612.0724986514314
100,20,2,2,600.0,-1,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,600.0,0,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,600.0,500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,600.0,1000,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,600.0,1500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,600.0,2500,7.2,0.004666666666666667,0.005333333333333333,93.45866666666667,-226.99793502895997,-612.0724986514314
100,20,2,2,1000000000.0,-1,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,1000000000.0,0,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,1000000000.0,500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,1000000000.0,1000,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,1000000000.0,1500,29.7,0.02,0.022,92.85466666666666,-204.49793502895997,-554.9907342007357
100,20,2,2,1000000000.0,2500,7.2,0.004666666666666667,0.005333333333333333,93.45866666666667,-226.99793502895997,-612.0724986514314
100,20,3,1,300.0,-1,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,300.0,0,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,300.0,500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,300.0,1000,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,300.0,1500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,300.0,2500,20.7,0.012666666666666666,0.015333333333333332,147.30466666666666,-213.49793502895997,-365.2394784548436
100,20,3,1,600.0,-1,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,600.0,0,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
