escenario,entrada,politica,colchon,p_aprobar,ev_fondeada,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
opt,aleatoria 09:31,equilibrada (R250 S60 T180 K2),-1,0.3971,840.3613820243078,0.273,0.5408333333333334,25.888833333333334,606.1634469953478,5900.350420432013
opt,aleatoria 09:31,equilibrada (R250 S60 T180 K2),0,0.3971,840.375,0.273,0.5408333333333334,25.888833333333334,606.1770649710401,5900.48297680604
opt,aleatoria 09:31,equilibrada (R250 S60 T180 K2),1000,0.3971,842.175,0.273,0.5415,25.966166666666666,607.97706497104,5900.378840646563
opt,aleatoria 09:31,equilibrada (R250 S60 T180 K2),2500,0.3971,886.05,0.213,0.5331666666666667,33.73133333333333,651.85206497104,4869.855536080265
opt,aleatoria 09:31,equilibrada (R250 S60 T180 K2),3500,0.3971,860.85,0.17633333333333334,0.5028333333333334,39.504666666666665,626.6520649710401,3997.409260662085
opt,aleatoria 09:31,rápida (R600 S60 T120 K2),-1,0.3971,784.125,0.24633333333333332,0.4865,13.6575,549.9270649710401,10146.924427801727
opt,aleatoria 09:31,rápida (R600 S60 T120 K2),0,0.3971,784.125,0.24633333333333332,0.4865,13.6575,549.9270649710401,10146.924427801727
opt,aleatoria 09:31,rápida (R600 S60 T120 K2),1000,0.3971,784.125,0.24633333333333332,0.4865,13.6575,549.9270649710401,10146.924427801727
opt,aleatoria 09:31,rápida (R600 S60 T120 K2),2500,0.3971,811.575,0.196,0.4775,16.5405,577.3770649710401,8796.530961742516
opt,aleatoria 09:31,rápida (R600 S60 T120 K2),3500,0.3971,791.775,0.15966666666666668,0.4498333333333333,19.29,557.57706497104,7284.054970072685
opt,aleatoria 09:31,lenta (R400 S90 T180 K1),-1,0.3971,907.2,0.2805,0.5778333333333333,30.025666666666666,673.0020649710401,5648.384838728048
opt,aleatoria 09:31,lenta (R400 S90 T180 K1),0,0.3971,907.2,0.2805,0.5778333333333333,30.025666666666666,673.0020649710401,5648.384838728048
opt,aleatoria 09:31,lenta (R400 S90 T180 K1),1000,0.3971,908.1,0.2805,0.5781666666666667,30.074333333333332,673.9020649710401,5646.785865224016
opt,aleatoria 09:31,lenta (R400 S90 T180 K1),2500,0.3971,970.425,0.22616666666666665,0.583,39.654333333333334,736.22706497104,4678.661946303525
opt,aleatoria 09:31,lenta (R400 S90 T180 K1),3500,0.3971,926.1,0.19083333333333333,0.5475,45.961333333333336,691.9020649710401,3793.608838720274
opt,solo largos 09:31,equilibrada (R250 S60 T180 K2),-1,0.3892,672.7381976644526,0.25183333333333335,0.449,23.795666666666666,433.7865018782245,4593.869968200621
opt,solo largos 09:31,equilibrada (R250 S60 T180 K2),0,0.3892,672.75,0.25183333333333335,0.449,23.795666666666666,433.79830421377187,4593.994956863456
opt,solo largos 09:31,equilibrada (R250 S60 T180 K2),1000,0.3892,673.2,0.25183333333333335,0.44916666666666666,23.818166666666666,434.2483042137719,4594.416278689398
opt,solo largos 09:31,equilibrada (R250 S60 T180 K2),2500,0.3892,671.625,0.189,0.42183333333333334,29.638,432.67330421377187,3678.8471780103414
opt,solo largos 09:31,equilibrada (R250 S60 T180 K2),3500,0.3892,630.675,0.15266666666666667,0.38516666666666666,34.43033333333333,391.7233042137718,2867.0728135617965
opt,solo largos 09:31,rápida (R600 S60 T120 K2),-1,0.3892,630.675,0.23066666666666666,0.4098333333333333,11.810166666666667,391.7233042137718,8358.414868139356
opt,solo largos 09:31,rápida (R600 S60 T120 K2),0,0.3892,630.675,0.23066666666666666,0.4098333333333333,11.810166666666667,391.7233042137718,8358.414868139356
opt,solo largos 09:31,rápida (R600 S60 T120 K2),1000,0.3892,630.675,0.23066666666666666,0.4098333333333333,11.810166666666667,391.7233042137718,8358.414868139356
opt,solo largos 09:31,rápida (R600 S60 T120 K2),2500,0.3892,598.95,0.1805,0.3745,13.952666666666667,359.9983042137719,6501.952266845324
opt,solo largos 09:31,rápida (R600 S60 T120 K2),3500,0.3892,573.3,0.147,0.3445,15.939,334.3483042137718,5286.139197055681
opt,solo largos 09:31,lenta (R400 S90 T180 K1),-1,0.3892,807.2900879338687,0.2623333333333333,0.5175,27.941666666666666,568.3383921476405,5125.724121248031
opt,solo largos 09:31,lenta (R400 S90 T180 K1),0,0.3892,807.3,0.2623333333333333,0.5175,27.941666666666666,568.3483042137718,5125.813516082451
opt,solo largos 09:31,lenta (R400 S90 T180 K1),1000,0.3892,809.1,0.2623333333333333,0.5181666666666667,27.997166666666665,570.1483042137719,5131.8540326772545
opt,solo largos 09:31,lenta (R400 S90 T180 K1),2500,0.3892,843.975,0.2045,0.5121666666666667,36.69166666666667,605.0233042137719,4155.326986015094
