plan,fr,S,rr,K,G,cons,cons_dias,opt,opt_dias,prom
growth,0.15,30,1.5,1,1000000000.0,0.09525,37.0,0.17825,37.0,0.13674999999999998
growth,0.15,30,1.5,2,1000000000.0,0.14775,22.0,0.21275,22.0,0.18025
growth,0.15,30,2.0,1,1000000000.0,0.14,30.0,0.264,30.0,0.202
growth,0.15,30,2.0,2,1000000000.0,0.18225,16.0,0.2445,15.0,0.21337499999999998
growth,0.15,30,3.0,1,1000000000.0,0.23875,21.0,0.346,21.0,0.292375
growth,0.15,30,3.0,2,1000000000.0,0.26675,11.0,0.364,11.0,0.31537499999999996
growth,0.15,30,4.0,1,1000000000.0,0.278,16.0,0.37875,16.0,0.328375
growth,0.15,30,4.0,2,1000000000.0,0.2825,8.0,0.372,8.0,0.32725
growth,0.15,45,1.5,1,1000000000.0,0.12175,32.0,0.25,30.5,0.185875
growth,0.15,45,1.5,2,1000000000.0,0.18525,17.0,0.298,18.5,0.24162499999999998
growth,0.15,45,2.0,1,1000000000.0,0.19375,26.0,0.341,26.0,0.26737500000000003
growth,0.15,45,2.0,2,1000000000.0,0.26025,14.0,0.3565,13.0,0.30837499999999995
growth,0.15,45,3.0,1,1000000000.0,0.231,19.0,0.387,18.0,0.309
growth,0.15,45,3.0,2,1000000000.0,0.30275,10.0,0.3675,9.0,0.335125
growth,0.15,45,4.0,1,1000000000.0,0.29925,15.0,0.42475,14.0,0.362
growth,0.15,45,4.0,2,1000000000.0,0.32575,9.0,0.365,8.0,0.345375
growth,0.15,60,1.5,1,1000000000.0,0.13725,38.0,0.296,35.0,0.216625
growth,0.15,60,1.5,2,1000000000.0,0.25075,24.0,0.3765,23.0,0.313625
growth,0.15,60,2.0,1,1000000000.0,0.2065,33.0,0.38175,30.0,0.29412499999999997
growth,0.15,60,2.0,2,1000000000.0,0.2905,20.0,0.41225,17.0,0.351375
growth,0.15,60,3.0,1,1000000000.0,0.27075,24.0,0.41625,23.0,0.3435
growth,0.15,60,3.0,2,1000000000.0,0.3165,15.0,0.3785,13.0,0.34750000000000003
growth,0.15,60,4.0,1,1000000000.0,0.297,21.0,0.4285,18.0,0.36275
growth,0.15,60,4.0,2,1000000000.0,0.3,13.0,0.38775,10.0,0.343875
growth,0.15,90,1.5,1,1000000000.0,0.06,45.0,0.154,44.0,0.107
growth,0.15,90,1.5,2,1000000000.0,0.20025,39.0,0.31425,36.0,0.25725
growth,0.15,90,2.0,1,1000000000.0,0.10075,43.0,0.226,42.0,0.163375
growth,0.15,90,2.0,2,1000000000.0,0.241,37.0,0.31975,32.0,0.280375
growth,0.15,90,3.0,1,1000000000.0,0.1525,38.0,0.2975,37.0,0.22499999999999998
growth,0.15,90,3.0,2,1000000000.0,0.23925,34.0,0.36775,28.0,0.3035
growth,0.15,90,4.0,1,1000000000.0,0.18825,36.0,0.32075,34.0,0.2545
growth,0.15,90,4.0,2,1000000000.0,0.2545,32.0,0.3645,26.0,0.3095
growth,0.3,30,1.5,1,1000000000.0,0.2095,9.0,0.2725,9.0,0.241
growth,0.3,30,1.5,2,1000000000.0,0.23775,5.0,0.281,5.0,0.259375
growth,0.3,30,2.0,1,1000000000.0,0.24125,6.0,0.31425,6.0,0.27775
growth,0.3,30,2.0,2,1000000000.0,0.27225,4.0,0.3035,4.0,0.287875
growth,0.3,30,3.0,1,1000000000.0,0.29775,5.0,0.351,5.0,0.32437499999999997
growth,0.3,30,3.0,2,1000000000.0,0.319,3.0,0.37125,3.0,0.345125
growth,0.3,30,4.0,1,1000000000.0,0.32375,4.0,0.3775,4.0,0.35062499999999996
growth,0.3,30,4.0,2,1000000000.0,0.33,2.0,0.388,2.0,0.359
growth,0.3,45,1.5,1,1000000000.0,0.2135,9.0,0.297,9.0,0.25525
growth,0.3,45,1.5,2,1000000000.0,0.26325,6.0,0.31825,5.0,0.29074999999999995
growth,0.3,45,2.0,1,1000000000.0,0.26025,7.0,0.34,8.0,0.300125
growth,0.3,45,2.0,2,1000000000.0,0.3025,4.0,0.35475,4.0,0.328625
growth,0.3,45,3.0,1,1000000000.0,0.287,5.0,0.3805,5.0,0.33375
growth,0.3,45,3.0,2,1000000000.0,0.3375,3.0,0.3725,3.0,0.355
growth,0.3,45,4.0,1,1000000000.0,0.32275,4.0,0.41075,4.0,0.36675
growth,0.3,45,4.0,2,1000000000.0,0.3545,2.0,0.38,2.0,0.36724999999999997
growth,0.3,60,1.5,1,1000000000.0,0.242,12.0,0.3595,12.0,0.30074999999999996
growth,0.3,60,1.5,2,1000000000.0,0.28825,7.0,0.3565,6.0,0.32237499999999997
growth,0.3,60,2.0,1,1000000000.0,0.27475,10.0,0.3735,10.0,0.324125
growth,0.3,60,2.0,2,1000000000.0,0.31525,6.0,0.3805,5.0,0.347875
growth,0.3,60,3.0,1,1000000000.0,0.3055,7.0,0.3895,7.0,0.34750000000000003
growth,0.3,60,3.0,2,1000000000.0,0.335,4.0,0.36875,4.0,0.35187500000000005
growth,0.3,60,4.0,1,1000000000.0,0.325,6.0,0.406,5.0,0.36550000000000005
growth,0.3,60,4.0,2,1000000000.0,0.337,4.0,0.38675,3.0,0.361875
growth,0.3,90,1.5,1,1000000000.0,0.27475,11.0,0.34125,10.0,0.308
growth,0.3,90,1.5,2,1000000000.0,0.32525,7.0,0.357,6.0,0.341125
growth,0.3,90,2.0,1,1000000000.0,0.3,9.0,0.3525,8.0,0.32625
growth,0.3,90,2.0,2,1000000000.0,0.33725,6.0,0.353,5.0,0.345125
growth,0.3,90,3.0,1,1000000000.0,0.316,7.0,0.36725,6.0,0.341625
growth,0.3,90,3.0,2,1000000000.0,0.33175,5.0,0.36775,4.0,0.34975
growth,0.3,90,4.0,1,1000000000.0,0.33125,6.0,0.37725,5.0,0.35424999999999995
growth,0.3,90,4.0,2,1000000000.0,0.33075,5.0,0.37175,4.0,0.35125
growth,0.6,30,1.5,1,1000000000.0,0.27475,2.0,0.328,2.0,0.301375
growth,0.6,30,1.5,2,1000000000.0,0.31975,1.0,0.36375,1.0,0.34175
growth,0.6,30,2.0,1,1000000000.0,0.29725,2.0,0.35475,2.0,0.326
growth,0.6,30,2.0,2,1000000000.0,0.3425,1.0,0.3905,1.0,0.36650000000000005
growth,0.6,30,3.0,1,1000000000.0,0.3505,1.0,0.3985,1.0,0.3745
growth,0.6,30,3.0,2,1000000000.0,0.368,1.0,0.418,1.0,0.393
growth,0.6,30,4.0,1,1000000000.0,0.3555,1.0,0.403,1.0,0.37925
growth,0.6,30,4.0,2,1000000000.0,0.36525,1.0,0.41225,1.0,0.38875000000000004
growth,0.6,45,1.5,1,1000000000.0,0.28425,2.0,0.34325,2.0,0.31375
growth,0.6,45,1.5,2,1000000000.0,0.33875,1.0,0.3815,2.0,0.36012500000000003
growth,0.6,45,2.0,1,1000000000.0,0.30825,2.0,0.3595,2.0,0.33387500000000003
growth,0.6,45,2.0,2,1000000000.0,0.34825,2.0,0.4125,1.0,0.380375
growth,0.6,45,3.0,1,1000000000.0,0.3545,1.0,0.40775,1.0,0.381125
growth,0.6,45,3.0,2,1000000000.0,0.37325,1.0,0.4205,1.0,0.396875
growth,0.6,45,4.0,1,1000000000.0,0.3665,1.0,0.412,1.0,0.38925
growth,0.6,45,4.0,2,1000000000.0,0.37775,1.0,0.41775,1.0,0.39775
growth,0.6,60,1.5,1,1000000000.0,0.29925,2.0,0.3615,2.0,0.330375
growth,0.6,60,1.5,2,1000000000.0,0.34775,2.0,0.40825,2.0,0.378
growth,0.6,60,2.0,1,1000000000.0,0.32225,2.0,0.377,2.0,0.34962499999999996
growth,0.6,60,2.0,2,1000000000.0,0.362,2.0,0.434,2.0,0.398
growth,0.6,60,3.0,1,1000000000.0,0.371,1.0,0.4175,1.0,0.39425
growth,0.6,60,3.0,2,1000000000.0,0.39,1.0,0.43375,1.0,0.411875
growth,0.6,60,4.0,1,1000000000.0,0.37925,1.0,0.4225,1.0,0.400875
growth,0.6,60,4.0,2,1000000000.0,0.385,1.0,0.432,1.0,0.4085
growth,0.6,90,1.5,1,1000000000.0,0.304,3.0,0.33825,3.0,0.321125
growth,0.6,90,1.5,2,1000000000.0,0.353,2.0,0.381,2.0,0.367
growth,0.6,90,2.0,1,1000000000.0,0.3265,3.0,0.35575,2.0,0.341125
growth,0.6,90,2.0,2,1000000000.0,0.35975,2.0,0.38925,2.0,0.3745
growth,0.6,90,3.0,1,1000000000.0,0.35725,2.0,0.388,2.0,0.372625
growth,0.6,90,3.0,2,1000000000.0,0.35925,2.0,0.39775,2.0,0.3785
growth,0.6,90,4.0,1,1000000000.0,0.359,2.0,0.39225,2.0,0.375625
growth,0.6,90,4.0,2,1000000000.0,0.35875,2.0,0.396,2.0,0.377375
growth,1.0,30,1.5,1,1000000000.0,0.29075,2.0,0.34175,2.0,0.31625000000000003
growth,1.0,30,1.5,2,1000000000.0,0.33775,1.0,0.3935,1.0,0.365625
growth,1.0,30,2.0,1,1000000000.0,0.31325,2.0,0.37675,2.0,0.345
growth,1.0,30,2.0,2,1000000000.0,0.371,1.0,0.4105,1.0,0.39075
growth,1.0,30,3.0,1,1000000000.0,0.3625,1.0,0.40825,1.0,0.385375
growth,1.0,30,3.0,2,1000000000.0,0.3795,1.0,0.42025,1.0,0.399875
growth,1.0,30,4.0,1,1000000000.0,0.365,1.0,0.411,1.0,0.388
growth,1.0,30,4.0,2,1000000000.0,0.379,1.0,0.427,1.0,0.403
growth,1.0,45,1.5,1,1000000000.0,0.2885,2.0,0.34425,2.0,0.31637499999999996
growth,1.0,45,1.5,2,1000000000.0,0.36975,1.0,0.399,1.0,0.384375
