tipo,R,S,rr,K,G,colchon,cons,cons_pcobra,cons_dias,opt,opt_pcobra,opt_dias,prom
growth,100,30,1.5,1,300.0,-1,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,1,300.0,2500,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,1,600.0,-1,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,1,600.0,2500,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,1,1000000000.0,-1,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,1,1000000000.0,2500,0.0,0.0,213.93,0.0,0.0,238.11333333333334,0.0
growth,100,30,1.5,2,300.0,-1,10.8,0.008,157.69333333333333,52.2,0.037333333333333336,190.12933333333334,31.5
growth,100,30,1.5,2,300.0,2500,0.9,0.0006666666666666666,157.72333333333333,7.2,0.005333333333333333,190.23933333333332,4.05
growth,100,30,1.5,2,600.0,-1,10.8,0.008,157.69333333333333,52.2,0.037333333333333336,190.12933333333334,31.5
growth,100,30,1.5,2,600.0,2500,0.9,0.0006666666666666666,157.72333333333333,7.2,0.005333333333333333,190.23933333333332,4.05
growth,100,30,1.5,2,1000000000.0,-1,10.8,0.008,157.69333333333333,52.2,0.037333333333333336,190.12933333333334,31.5
growth,100,30,1.5,2,1000000000.0,2500,0.9,0.0006666666666666666,157.72333333333333,7.2,0.005333333333333333,190.23933333333332,4.05
growth,100,30,2.0,1,300.0,-1,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,1,300.0,2500,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,1,600.0,-1,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,1,600.0,2500,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,1,1000000000.0,-1,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,1,1000000000.0,2500,0.0,0.0,203.91133333333335,0.0,0.0,233.67733333333334,0.0
growth,100,30,2.0,2,300.0,-1,45.9,0.03,148.75,161.1,0.10066666666666667,178.198,103.5
growth,100,30,2.0,2,300.0,2500,10.8,0.008,149.24066666666667,52.2,0.034,179.338,31.5
growth,100,30,2.0,2,600.0,-1,45.9,0.03,148.75,161.1,0.10066666666666667,178.198,103.5
growth,100,30,2.0,2,600.0,2500,10.8,0.008,149.24066666666667,52.2,0.034,179.338,31.5
growth,100,30,2.0,2,1000000000.0,-1,45.9,0.03,148.75,161.1,0.10066666666666667,178.198,103.5
growth,100,30,2.0,2,1000000000.0,2500,10.8,0.008,149.24066666666667,52.2,0.034,179.338,31.5
growth,100,30,3.0,1,300.0,-1,81.9,0.05533333333333333,203.752,292.5,0.17733333333333334,224.914,187.2
growth,100,30,3.0,1,300.0,2500,13.5,0.009333333333333334,203.90533333333335,92.7,0.062,225.34666666666666,53.1
growth,100,30,3.0,1,600.0,-1,81.9,0.05533333333333333,203.752,292.5,0.17733333333333334,224.914,187.2
growth,100,30,3.0,1,600.0,2500,13.5,0.009333333333333334,203.90533333333335,92.7,0.062,225.34666666666666,53.1
growth,100,30,3.0,1,1000000000.0,-1,81.9,0.05533333333333333,203.752,292.5,0.17733333333333334,224.914,187.2
growth,100,30,3.0,1,1000000000.0,2500,13.5,0.009333333333333334,203.90533333333335,92.7,0.062,225.34666666666666,53.1
growth,100,30,3.0,2,300.0,-1,260.9775716256628,0.148,149.57,1046.2598376845167,0.444,184.01,653.6187046550897
growth,100,30,3.0,2,300.0,2500,107.1,0.06733333333333333,152.668,602.1,0.294,191.10866666666666,354.6
growth,100,30,3.0,2,600.0,-1,260.9775716256628,0.148,149.57,1046.2598376845167,0.444,184.01,653.6187046550897
growth,100,30,3.0,2,600.0,2500,107.1,0.06733333333333333,152.668,602.1,0.294,191.10866666666666,354.6
growth,100,30,3.0,2,1000000000.0,-1,260.9775716256628,0.148,149.57,1046.2598376845167,0.444,184.01,653.6187046550897
growth,100,30,3.0,2,1000000000.0,2500,107.1,0.06733333333333333,152.668,602.1,0.294,191.10866666666666,354.6
growth,100,45,1.5,1,300.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,1,300.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,1,600.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,1,600.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,1,1000000000.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,1,1000000000.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,100,45,1.5,2,300.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,100,45,1.5,2,300.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,100,45,1.5,2,600.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,100,45,1.5,2,600.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,100,45,1.5,2,1000000000.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,100,45,1.5,2,1000000000.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,100,45,2.0,1,300.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,100,45,2.0,1,300.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,100,45,2.0,1,600.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,100,45,2.0,1,600.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,100,45,2.0,1,1000000000.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,100,45,2.0,1,1000000000.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,100,45,2.0,2,300.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,100,45,2.0,2,300.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,100,45,2.0,2,600.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,100,45,2.0,2,600.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,100,45,2.0,2,1000000000.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,100,45,2.0,2,1000000000.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,100,45,3.0,1,300.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,100,45,3.0,1,300.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,100,45,3.0,1,600.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,100,45,3.0,1,600.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,100,45,3.0,1,1000000000.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,100,45,3.0,1,1000000000.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,100,45,3.0,2,300.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,100,45,3.0,2,300.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,100,45,3.0,2,600.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,100,45,3.0,2,600.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,100,45,3.0,2,1000000000.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,100,45,3.0,2,1000000000.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,100,60,1.5,1,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,60,1.5,1,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,60,1.5,1,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,60,1.5,1,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,60,1.5,1,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
