plan,size,riesgo_frac_dd,R,S,rr,K,G,pass_,dias
growth,25,0.15,150.0,10,0.5,1,1000000000.0,0.0,
growth,25,0.15,150.0,10,0.5,2,1000000000.0,0.0,
growth,25,0.15,150.0,10,0.5,3,1000000000.0,0.0,
growth,25,0.15,150.0,10,0.5,5,1000000000.0,0.0,
growth,25,0.15,150.0,10,1.0,1,1000000000.0,0.0,
growth,25,0.15,150.0,10,1.0,2,1000000000.0,0.0,
growth,25,0.15,150.0,10,1.0,3,1000000000.0,0.0,
growth,25,0.15,150.0,10,1.0,5,1000000000.0,0.0,
growth,25,0.15,150.0,10,1.5,1,1000000000.0,0.001,18.333333333333332
growth,25,0.15,150.0,10,1.5,2,1000000000.0,0.0013333333333333333,19.75
growth,25,0.15,150.0,10,1.5,3,1000000000.0,0.002,14.333333333333334
growth,25,0.15,150.0,10,1.5,5,1000000000.0,0.002,6.0
growth,25,0.15,150.0,10,2.0,1,1000000000.0,0.017333333333333333,27.365384615384617
growth,25,0.15,150.0,10,2.0,2,1000000000.0,0.018666666666666668,18.285714285714285
growth,25,0.15,150.0,10,2.0,3,1000000000.0,0.022333333333333334,12.925373134328359
growth,25,0.15,150.0,10,2.0,5,1000000000.0,0.021666666666666667,6.6461538461538465
growth,25,0.15,150.0,10,3.0,1,1000000000.0,0.10533333333333333,23.186708860759495
growth,25,0.15,150.0,10,3.0,2,1000000000.0,0.09733333333333333,13.386986301369863
growth,25,0.15,150.0,10,3.0,3,1000000000.0,0.09733333333333333,9.42123287671233
growth,25,0.15,150.0,10,3.0,5,1000000000.0,0.08866666666666667,5.567669172932331
growth,25,0.15,150.0,10,4.0,1,1000000000.0,0.181,17.813996316758747
growth,25,0.15,150.0,10,4.0,2,1000000000.0,0.15966666666666668,10.400835073068894
growth,25,0.15,150.0,10,4.0,3,1000000000.0,0.15033333333333335,7.232815964523281
growth,25,0.15,150.0,10,4.0,5,1000000000.0,0.13333333333333333,4.9425
growth,25,0.15,150.0,15,0.5,1,1000000000.0,0.0,
growth,25,0.15,150.0,15,0.5,2,1000000000.0,0.0,
growth,25,0.15,150.0,15,0.5,3,1000000000.0,0.0,
growth,25,0.15,150.0,15,0.5,5,1000000000.0,0.0,
growth,25,0.15,150.0,15,1.0,1,1000000000.0,0.0013333333333333333,38.5
growth,25,0.15,150.0,15,1.0,2,1000000000.0,0.001,21.333333333333332
growth,25,0.15,150.0,15,1.0,3,1000000000.0,0.0016666666666666668,24.6
growth,25,0.15,150.0,15,1.0,5,1000000000.0,0.002,11.166666666666666
growth,25,0.15,150.0,15,1.5,1,1000000000.0,0.025333333333333333,33.23684210526316
