tipo,size,fr,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,sd
growth,25,0.05,50.0,10,0.5,1,100.0,50.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,100.0,50.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,100.0,100.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,100.0,100.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,100.0,1000000000.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,100.0,1000000000.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,50.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,50.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,100.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,100.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,1000000000.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,200.0,1000000000.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,400.0,50.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,400.0,50.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,400.0,100.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,400.0,100.0,500,0.0,0.0,0.0,0.9825,40.9105,0.0
growth,25,0.05,50.0,10,0.5,1,400.0,1000000000.0,0,0.0,0.0,0.0,0.9825,40.9105,0.0
