esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
cons,estrategia,select_flex,75,1,523.6880113998047,0.608,1.758,480.9173333333333,274.4117745934522,257.09759156761646,1464.2585707435899
cons,estrategia,select_flex,75,2,574.4335672107051,0.61,1.7163333333333333,392.899,368.43376780571515,265.79140881294796,1632.1930149788932
cons,estrategia,select_flex,75,3,757.7733350073124,0.679,2.179,388.4873333333333,491.54467607311796,431.64700222672127,2002.8540921701533
cons,estrategia,select_flex,100,1,953.4933493418939,0.7166666666666667,2.9716666666666667,265.52433333333335,904.9276991593637,573.8936381195101,2521.2199582292446
cons,estrategia,select_flex,100,2,1219.0862479462535,0.7686666666666667,3.2973333333333334,201.20866666666666,1526.8215806598253,806.3159772294956,3006.7785280907697
cons,estrategia,select_flex,100,3,1377.9254658709917,0.7913333333333333,3.441,185.275,1874.172000536985,987.1965329201854,3365.0627868331944
cons,estrategia,select_flex,150,1,827.495544258153,0.6713333333333333,1.991,86.09666666666666,2422.0319464910126,458.61644112747763,2234.1628811071223
cons,estrategia,select_flex,150,2,954.3901250202845,0.6943333333333334,2.065,59.52466666666667,4040.447850836824,560.7037143912612,2512.770532846895
cons,estrategia,select_flex,150,3,965.52380780098,0.693,1.8926666666666667,54.409666666666666,4471.852420204381,531.1546693689002,2506.207128987358
cons,estrategia,select_flex,250,1,821.1798999615079,0.591,1.1743333333333332,34.56933333333333,5986.153472932657,362.73774856199634,2212.3109357989338
cons,estrategia,select_flex,250,2,905.5315472386862,0.59,1.1876666666666666,24.088666666666665,9473.083465425605,383.96961623872573,2450.158316290776
cons,estrategia,select_flex,250,3,956.8237369718266,0.5816666666666667,1.164,22.539666666666665,10697.566440655748,396.511245023541,2697.319815854473
cons,estrategia,select_flex,400,1,840.59311304474,0.371,0.6403333333333333,18.904,11205.536631785573,0.0,2573.2707892384547
cons,estrategia,select_flex,400,2,968.2495162895952,0.38233333333333336,0.6953333333333334,13.899,17555.139082306498,0.0,2969.1235952710763
cons,estrategia,select_flex,400,3,983.8328165800823,0.38233333333333336,0.6916666666666667,12.684666666666667,19545.320053990177,0.0,2835.7590049754713
cons,estrategia,select_flex,600,1,920.3513820400708,0.23233333333333334,0.4786666666666667,14.354,16157.764265995393,0.0,2250.0
cons,estrategia,select_flex,600,2,1057.1184443819625,0.23966666666666667,0.5343333333333333,10.836,24584.149869347963,0.0,3037.3684591169526
cons,estrategia,select_flex,600,3,1144.2923896806199,0.23933333333333334,0.573,10.522333333333334,27404.727931021273,0.0,3360.548810548881
cons,estrategia,select_flex,900,1,1105.3285923810788,0.16866666666666666,0.508,13.827666666666667,20143.876186391906,0.0,2250.0
cons,estrategia,select_flex,900,2,1400.1559483804008,0.17533333333333334,0.6363333333333333,11.603,30409.316469177025,0.0,2250.0
cons,estrategia,select_flex,900,3,1446.5499359465912,0.17733333333333334,0.657,10.942666666666666,33312.77420420443,0.0,2250.0
cons,estrategia,growth,75,1,11.7,0.008333333333333333,0.008666666666666666,518.1813333333333,5.689900060725203,0.0,0.0
cons,estrategia,growth,75,2,33.3,0.022333333333333334,0.024666666666666667,442.6483333333333,18.95771285708369,0.0,0.0
cons,estrategia,growth,75,3,77.4,0.04766666666666667,0.05733333333333333,456.763,42.70223288663925,0.0,0.0
