fase,plan,Robj,Rusd,K,G,cons_p,cons_dias,opt_p,opt_dias,colchon,cons_ev,cons_pcobra,cons_nret,opt_ev,opt_pcobra,opt_nret
examen,growth,2.0,150,1,300.0,0.01,49.0,0.013,49.0,,,,,,,
examen,growth,2.0,150,1,600.0,0.01,49.0,0.013,49.0,,,,,,,
examen,growth,2.0,150,1,1200.0,0.01,49.0,0.013,49.0,,,,,,,
examen,growth,2.0,150,1,1000000000.0,0.01,49.0,0.013,49.0,,,,,,,
examen,growth,2.0,150,2,300.0,0.043666666666666666,47.0,0.04533333333333334,45.0,,,,,,,
examen,growth,2.0,150,2,600.0,0.043666666666666666,47.0,0.04533333333333334,45.0,,,,,,,
examen,growth,2.0,150,2,1200.0,0.043666666666666666,47.0,0.04533333333333334,45.0,,,,,,,
examen,growth,2.0,150,2,1000000000.0,0.043666666666666666,47.0,0.04533333333333334,45.0,,,,,,,
examen,growth,2.0,150,3,300.0,0.053,47.0,0.05633333333333333,45.0,,,,,,,
examen,growth,2.0,150,3,600.0,0.05433333333333333,45.0,0.048,44.0,,,,,,,
examen,growth,2.0,150,3,1200.0,0.05433333333333333,45.0,0.048,44.0,,,,,,,
examen,growth,2.0,150,3,1000000000.0,0.05433333333333333,45.0,0.048,44.0,,,,,,,
examen,growth,2.0,150,5,300.0,0.05566666666666667,47.0,0.067,43.0,,,,,,,
examen,growth,2.0,150,5,600.0,0.057,46.0,0.062,43.5,,,,,,,
examen,growth,2.0,150,5,1200.0,0.057666666666666665,46.0,0.06333333333333334,43.0,,,,,,,
examen,growth,2.0,150,5,1000000000.0,0.057666666666666665,46.0,0.06333333333333334,43.0,,,,,,,
examen,growth,2.0,250,1,300.0,0.14166666666666666,38.0,0.154,38.0,,,,,,,
examen,growth,2.0,250,1,600.0,0.14166666666666666,38.0,0.154,38.0,,,,,,,
examen,growth,2.0,250,1,1200.0,0.14166666666666666,38.0,0.154,38.0,,,,,,,
examen,growth,2.0,250,1,1000000000.0,0.14166666666666666,38.0,0.154,38.0,,,,,,,
examen,growth,2.0,250,2,300.0,0.187,34.0,0.223,32.0,,,,,,,
examen,growth,2.0,250,2,600.0,0.21766666666666667,30.0,0.24833333333333332,28.0,,,,,,,
examen,growth,2.0,250,2,1200.0,0.21766666666666667,30.0,0.24833333333333332,28.0,,,,,,,
examen,growth,2.0,250,2,1000000000.0,0.21766666666666667,30.0,0.24833333333333332,28.0,,,,,,,
examen,growth,2.0,250,3,300.0,0.208,32.0,0.20133333333333334,29.0,,,,,,,
examen,growth,2.0,250,3,600.0,0.22033333333333333,28.0,0.22,25.5,,,,,,,
examen,growth,2.0,250,3,1200.0,0.226,28.0,0.20366666666666666,25.0,,,,,,,
examen,growth,2.0,250,3,1000000000.0,0.226,28.0,0.20366666666666666,25.0,,,,,,,
examen,growth,2.0,250,5,300.0,0.20566666666666666,32.0,0.21866666666666668,27.0,,,,,,,
examen,growth,2.0,250,5,600.0,0.22033333333333333,27.0,0.23133333333333334,22.0,,,,,,,
