forma,Rusd,K,cons_aprueba,cons_ev,cons_cobra,cons_vida,cons_neto_examen,opt_aprueba,opt_ev,opt_cobra,opt_vida,opt_neto_examen,min_neto
3R,100,1,0.21,953.4933493418939,0.7166666666666667,265.52433333333335,101.23360336179772,0.243,585.2996494477858,0.592,196.92766666666665,43.22781481581194,43.22781481581194
3R,100,2,0.26666666666666666,1219.0862479462535,0.7686666666666667,201.20866666666666,226.08966611900092,0.26866666666666666,502.0989463308546,0.5453333333333333,122.88066666666667,35.89725024755626,35.89725024755626
3R,100,3,0.274,1377.9254658709917,0.7913333333333333,185.275,278.55157764865174,0.239,468.6093552519784,0.5173333333333333,101.432,12.997635905222836,12.997635905222836
3R,150,1,0.2683333333333333,827.495544258153,0.6713333333333333,86.09666666666666,123.04463770927103,0.29333333333333333,1082.3673421809972,0.7326666666666667,85.91466666666666,218.4944203730925,123.04463770927103
3R,150,2,0.23366666666666666,954.3901250202845,0.6943333333333334,59.52466666666667,124.00915921307313,0.22766666666666666,882.1103003828479,0.6673333333333333,49.76533333333333,101.82711172049503,101.82711172049503
3R,150,3,0.23033333333333333,965.52380780098,0.693,54.409666666666666,123.39231706349238,0.20166666666666666,697.6135433820308,0.5993333333333334,39.724666666666664,41.6853979153762,41.6853979153762
3R,250,1,0.20033333333333334,821.1798999615079,0.591,34.56933333333333,65.50970662562207,0.225,868.546526453895,0.615,33.06133333333333,96.42296845212638,65.50970662562207
3R,250,2,0.20833333333333334,905.5315472386862,0.59,24.088666666666665,89.65240567472631,0.221,881.5634215690645,0.5893333333333334,20.440333333333335,95.82551616676326,89.65240567472631
3R,250,3,0.201,956.8237369718266,0.5816666666666667,22.539666666666665,93.32157113133715,0.19733333333333333,745.4925521021954,0.513,16.584,48.110530281499905,48.110530281499905
3R,400,1,0.14633333333333334,840.59311304474,0.371,18.904,24.0067922088803,0.16,843.3324456476304,0.3973333333333333,17.716666666666665,35.93319130362087,24.0067922088803
3R,400,2,0.14933333333333335,968.2495162895952,0.38233333333333336,13.899,45.591927765912914,0.15633333333333332,908.1685068581356,0.3863333333333333,11.726,42.97700990548853,42.97700990548853
3R,400,3,0.15366666666666667,983.8328165800823,0.38233333333333336,12.684666666666667,52.18230948113933,0.15533333333333332,788.2291946959292,0.3463333333333333,9.567333333333334,23.438268242767663,23.438268242767663
3R,600,1,0.10066666666666667,920.3513820400708,0.23233333333333334,14.354,-6.351294207966205,0.10933333333333334,1078.0343130468632,0.257,14.345,18.865084893123708,-6.351294207966205
3R,600,2,0.09933333333333333,1057.1184443819625,0.23966666666666667,10.836,6.007098808608276,0.111,1021.3797645207171,0.25433333333333336,9.374333333333333,14.373153861799608,6.007098808608276
3R,600,3,0.10466666666666667,1144.2923896806199,0.23933333333333334,10.522333333333334,20.76927011990489,0.10733333333333334,918.4153601007521,0.22566666666666665,7.828,-0.4234180158526044,-0.4234180158526044
2R,100,1,0.14133333333333334,765.1423542898875,0.682,359.2096666666667,9.140119406304109,0.15333333333333332,434.33859412913415,0.5306666666666666,266.47633333333334,-32.401415566866106,-32.401415566866106
2R,100,2,0.21433333333333332,919.867733328912,0.7063333333333334,271.20733333333334,98.15831751016344,0.246,449.1934894376354,0.5236666666666666,174.43266666666668,11.501598401658299,11.501598401658299
2R,100,3,0.22,950.5324182428412,0.717,239.67866666666666,110.11713201342508,0.20133333333333334,364.5015044369237,0.467,132.08833333333334,-25.613697106699362,-25.613697106699362
2R,150,1,0.24733333333333332,970.2098254381351,0.7103333333333334,127.754,140.96523015836542,0.253,1096.0376847829966,0.7366666666666667,120.51333333333334,178.29753425009812,140.96523015836542
