fase,plan,size,politica,2021-26,2011-20,2021-26_pcobra,2011-20_pcobra
examen,growth,25,"R=60% DD, S=60, T=240, K=1",0.3935,0.37195,,
examen,growth,50,"R=60% DD, S=60, T=180, K=2",0.3975,0.3697,,
examen,growth,100,"R=100% DD, S=60, T=180, K=2",0.36145,0.34595,,
examen,growth,150,"R=80% DD, S=60, T=180, K=1",0.36465,0.34655,,
examen,select,25,"R=15% DD, S=60, T=240, K=1",0.30755,0.2807,,
examen,select,50,"R=15% DD, S=60, T=240, K=1",0.3164,0.29075,,
examen,select,100,"R=25% DD, S=60, T=180, K=1",0.25395,0.22615,,
examen,select,150,"R=25% DD, S=60, T=180, K=1",0.25515,0.22815,,
fondeada,growth,25,"R=100$, S=40, T=200, K=2, G=400",309.825,288.225,0.208875,0.207125
fondeada,growth,50,"R=150$, S=60, T=180, K=1, G=600",920.2453434135509,525.9049708581083,0.3405,0.229375
fondeada,growth,100,"R=262$, S=60, T=180, K=1, G=800",1750.95,1107.675,0.377125,0.288375
fondeada,growth,150,"R=500$, S=60, T=180, K=2, G=1000",2264.625,1822.78125,0.32375,0.297375
fondeada,select_flex,25,"R=100$, S=40, T=200, K=2, G=400",391.0796361218447,363.74504058336805,0.458625,0.466625
fondeada,select_flex,50,"R=150$, S=60, T=180, K=1, G=600",1191.6568542011153,929.8357851982012,0.752625,0.701375
fondeada,select_flex,100,"R=225$, S=90, T=180, K=1, G=800",2026.7951084243302,1638.3260713462678,0.832125,0.8035
fondeada,select_flex,150,"R=338$, S=60, T=180, K=1, G=1000",2948.042394202452,2259.0568899039727,0.827875,0.786875
fondeada,select_daily,25,"R=100$, S=40, T=200, K=2, G=600",382.3382644462779,339.83076649316166,0.287375,0.28225
fondeada,select_daily,50,"R=150$, S=60, T=300, K=2, G=600",857.9586446202097,763.6676084893229,0.350125,0.33275
fondeada,select_daily,100,"R=250$, S=60, T=180, K=1, G=600",1193.3018065453787,833.302517765434,0.378875,0.31925
fondeada,select_daily,150,"R=262$, S=60, T=180, K=1, G=600",1740.1275911221253,1108.6123464211691,0.41925,0.335625
fondeada,lightning,25,"R=100$, S=40, T=200, K=1, G=600",287.6625,223.425,0.19025,0.165875
fondeada,lightning,50,"R=150$, S=60, T=180, K=1, G=600",909.9,535.725,0.3405,0.229375
fondeada,lightning,100,"R=400$, S=60, T=180, K=2, G=600",1491.46875,1229.90625,0.285375,0.25775
fondeada,lightning,150,"R=525$, S=60, T=180, K=2, G=600",1769.5125,1399.95,0.256375,0.2315
