near_term,long_term,end_hora,use_body,body_pct,sl_atr_mult,tp_rr,trades,wr,pf,pnl,max_dd,max_dd_pct,growth_pct,calmar,score
2,20,10:00,False,0,2.0,2.5,807,33.95,1.3174,72445.67,9543.37,19.0867,144.89,7.5912,0.906087
2,20,10:30,False,0,2.0,2.5,1050,32.57,1.2482,75518.47,13163.52,26.327,151.04,5.7369,0.885848
5,20,10:30,True,60,2.0,2.5,889,33.52,1.2813,70230.5,12679.94,25.3599,140.46,5.5387,0.874805
3,20,10:00,False,0,2.0,2.5,877,32.61,1.2583,63046.13,9711.72,19.4234,126.09,6.4918,0.834045
3,20,10:30,True,60,2.0,2.5,834,32.73,1.2463,58129.77,12192.56,24.3851,116.26,4.7676,0.800671
5,20,10:00,False,0,2.0,2.5,924,32.25,1.2156,55582.99,10397.41,20.7948,111.17,5.3459,0.779346
3,20,10:30,False,0,2.0,2.5,1133,31.16,1.18,58135.45,13433.13,26.8663,116.27,4.3278,0.770262
5,20,10:30,False,0,2.0,2.5,1184,31.25,1.174,58954.72,15756.68,31.5134,117.91,3.7416,0.767909
2,50,10:00,False,0,2.0,2.5,689,32.51,1.2378,45070.77,8345.31,16.6906,90.14,5.4007,0.739414
5,20,11:00,True,60,2.0,2.5,988,31.48,1.1888,51389.57,14428.48,28.857,102.78,3.5617,0.738609
2,20,10:00,False,0,2.0,2.0,868,37.1,1.2011,44983.5,9543.37,19.0867,89.97,4.7136,0.737521
5,35,10:30,True,60,2.0,2.5,805,32.42,1.212,48042.68,16233.17,32.4663,96.09,2.9595,0.72922
2,35,10:00,False,0,2.0,2.5,733,32.06,1.2165,43908.45,8936.8,17.8736,87.82,4.9132,0.723634
2,75,10:00,False,0,2.0,2.5,618,32.04,1.2356,39999.28,9801.05,19.6021,80.0,4.0811,0.708987
2,50,10:30,False,0,2.0,2.5,912,31.25,1.1734,45118.15,14470.19,28.9404,90.24,3.118,0.701104
5,20,10:30,True,70,2.0,2.5,777,32.69,1.2005,43664.33,22206.35,44.4127,87.33,1.9663,0.692152
5,50,10:00,False,0,2.0,2.5,792,31.69,1.1822,39780.46,11463.74,22.9275,79.56,3.4701,0.684808
3,35,10:30,True,60,2.0,2.5,757,31.84,1.1856,40065.31,14574.84,29.1497,80.13,2.7489,0.68165
2,20,10:00,False,0,1.5,2.5,907,32.08,1.1829,39234.48,12622.42,25.2448,78.47,3.1083,0.681199
5,50,10:30,True,60,2.0,2.5,760,31.97,1.1917,40900.71,18164.53,36.3291,81.8,2.2517,0.681195
5,20,10:00,True,60,2.0,2.5,614,32.25,1.2149,35873.58,10293.64,20.5873,71.75,3.485,0.680747
3,50,10:00,False,0,2.0,2.5,751,31.56,1.1818,37834.44,10076.07,20.1521,75.67,3.7549,0.677327
3,20,10:00,True,60,2.0,2.5,575,32.0,1.2178,34210.81,8475.71,16.9514,68.42,4.0363,0.676327
2,20,11:00,False,0,2.0,2.5,1169,30.28,1.1379,44980.41,19351.04,38.7021,89.96,2.3244,0.675309
2,20,10:00,False,0,2.0,1.5,912,43.2,1.1526,31794.85,9133.77,18.2675,63.59,3.481,0.673723
3,20,11:00,True,60,2.0,2.5,928,30.6,1.1569,40522.46,13803.19,27.6064,81.04,2.9357,0.671737
3,50,10:30,True,60,2.0,2.5,711,31.93,1.1872,37740.65,14661.85,29.3237,75.48,2.5741,0.670697
5,75,10:00,False,0,2.0,2.5,717,31.24,1.185,36425.66,11260.71,22.5214,72.85,3.2348,0.668097
2,20,10:30,True,60,2.0,2.5,773,31.69,1.1688,37429.58,15442.16,30.8843,74.86,2.4239,0.660423
2,35,10:30,False,0,2.0,2.5,963,30.63,1.141,39042.39,16242.08,32.4842,78.08,2.4038,0.653973
5,35,10:00,False,0,2.0,2.5,842,31.12,1.1527,35790.29,13305.93,26.6119,71.58,2.6898,0.649147
3,35,10:00,False,0,2.0,2.5,798,31.08,1.1561,34777.54,11595.57,23.1911,69.56,2.9992,0.648579
3,20,10:30,True,70,2.0,2.5,730,32.05,1.1724,35760.65,18408.79,36.8176,71.52,1.9426,0.6485
2,20,10:00,True,60,2.0,2.5,524,31.68,1.2027,29419.57,7826.1,15.6522,58.84,3.7592,0.647444
3,75,10:00,False,0,2.0,2.5,675,30.96,1.1751,32729.0,10692.45,21.3849,65.46,3.0609,0.646447
5,20,10:30,True,60,1.5,2.5,991,31.18,1.1451,33315.02,10779.33,21.5587,66.63,3.0906,0.639335
2,20,10:30,False,0,2.0,2.0,1138,35.5,1.1131,34309.18,17765.37,35.5307,68.62,1.9312,0.632117
5,20,11:00,False,0,2.0,2.5,1295,29.81,1.1052,38099.34,17950.01,35.9,76.2,2.1225,0.630851
3,50,10:00,True,60,2.0,2.5,480,31.87,1.2007,26210.59,9094.33,18.1887,52.42,2.8821,0.628717
2,75,10:30,False,0,2.0,2.5,831,30.57,1.1425,33905.01,17415.47,34.8309,67.81,1.9468,0.626278
3,20,10:00,False,0,2.0,2.0,943,35.21,1.1206,29449.43,10617.2,21.2344,58.9,2.7737,0.623827
5,20,11:00,True,70,2.0,2.5,861,31.13,1.1482,35224.14,24148.88,48.2978,70.45,1.4586,0.623066
5,50,10:30,False,0,2.0,2.5,1035,30.24,1.1165,34451.74,15691.73,31.3835,68.9,2.1955,0.622383
5,35,10:30,False,0,2.0,2.5,1094,30.07,1.1095,34463.24,16968.01,33.936,68.93,2.0311,0.61694
5,20,10:30,True,60,2.0,2.0,944,35.91,1.1227,30835.19,19060.84,38.1217,61.67,1.6177,0.61673
3,35,10:00,True,60,2.0,2.5,515,31.46,1.181,25583.78,9967.01,19.934,51.17,2.5668,0.615702
5,35,11:00,True,60,2.0,2.5,898,30.29,1.1324,33020.21,19833.35,39.6667,66.04,1.6649,0.612635
3,50,10:30,False,0,2.0,2.5,984,30.18,1.1161,32801.71,16485.03,32.9701,65.6,1.9898,0.612237
2,75,10:00,False,0,2.0,2.0,650,36.0,1.1441,24223.42,10636.04,21.2721,48.45,2.2775,0.608287
2,20,10:30,False,0,1.5,2.5,1212,30.69,1.1052,30399.62,12220.67,24.4413,60.8,2.4876,0.606456
5,35,10:00,True,60,2.0,2.5,548,31.39,1.1649,24814.22,10124.04,20.2481,49.63,2.451,0.605701
5,75,10:30,True,60,2.0,2.5,690,30.87,1.1503,29530.08,18791.9,37.5838,59.06,1.5714,0.60528
